patient	cell_type	n_cells	module_score_across_lineages	n_variable_module_genes
SMC01	B cells	129	-0.1611024924605309	8
SMC02	B cells	90	-0.29388721205065194	8
SMC03	B cells	300	-0.16852342615177762	8
SMC04	B cells	103	-0.318902891355317	8
SMC05	B cells	106	-0.02341343767722169	8
SMC06	B cells	104	-0.11260955238123997	8
SMC07	B cells	814	-0.09891691570736223	8
SMC08	B cells	304	-0.09503073153508373	8
SMC09	B cells	21	-0.5272168818760639	8
SMC10	B cells	113	-0.17161211164489704	8
SMC11	B cells	254	-0.180948574310439	8
SMC14	B cells	58	-0.29129013658514796	8
SMC15	B cells	380	-0.15812839686018593	8
SMC16	B cells	12	-0.9400823130240831	8
SMC17	B cells	44	-0.26823733062238575	8
SMC18	B cells	61	-0.729994557719301	8
SMC19	B cells	330	-0.45207642541447834	8
SMC20	B cells	89	-0.19941447611201935	8
SMC21	B cells	67	-0.6122931473637414	8
SMC22	B cells	23	-0.774436572986362	8
SMC23	B cells	118	-0.07405716207872616	8
SMC24	B cells	161	-0.01954099697627447	8
SMC25	B cells	257	-0.2641296610178828	8
SMC01	Epithelial cells	1093	-0.9825501829661145	8
SMC02	Epithelial cells	352	-0.7598199299256817	8
SMC03	Epithelial cells	796	-0.8675088261533717	8
SMC04	Epithelial cells	307	-0.8720285852290599	8
SMC05	Epithelial cells	13	-1.5999830150170413	8
SMC06	Epithelial cells	189	-0.71718304350048	8
SMC07	Epithelial cells	542	-0.8154373289953929	8
SMC08	Epithelial cells	320	-0.8961490489930952	8
SMC09	Epithelial cells	1887	-0.9711573888411501	8
SMC10	Epithelial cells	511	-0.7441816693078966	8
SMC11	Epithelial cells	326	-0.7939570562325544	8
SMC14	Epithelial cells	166	-0.6355149984489097	8
SMC15	Epithelial cells	319	-0.5568284241249505	8
SMC16	Epithelial cells	2720	-1.214857492328393	8
SMC17	Epithelial cells	505	-0.9186103566612058	8
SMC18	Epithelial cells	1516	-1.3017912914514862	8
SMC19	Epithelial cells	382	-0.7097960007807711	8
SMC20	Epithelial cells	524	-0.8412234654367441	8
SMC21	Epithelial cells	1727	-0.9606733186200682	8
SMC22	Epithelial cells	1902	-1.16516662068019	8
SMC23	Epithelial cells	639	-0.6587383082207476	8
SMC24	Epithelial cells	317	-0.4580203310359069	8
SMC25	Epithelial cells	416	-0.9703203839828065	8
SMC01	Myeloids	171	0.7821111950235037	8
SMC02	Myeloids	615	0.5957851520533708	8
SMC03	Myeloids	316	0.5769747425133489	8
SMC04	Myeloids	823	0.5633599296715611	8
SMC05	Myeloids	20	0.7295477809016777	8
SMC06	Myeloids	215	0.4007377668246792	8
SMC07	Myeloids	332	0.8740824301697491	8
SMC08	Myeloids	310	0.7592285496425053	8
SMC09	Myeloids	401	0.8428809946931498	8
SMC10	Myeloids	671	0.7406484683278314	8
SMC11	Myeloids	76	0.6861518516302432	8
SMC14	Myeloids	593	0.558663742929379	8
SMC15	Myeloids	148	0.5062795453508564	8
SMC16	Myeloids	46	0.290485739886174	8
SMC17	Myeloids	362	0.48212067530214453	8
SMC18	Myeloids	79	0.2690865065455243	8
SMC19	Myeloids	30	0.49248233677540343	8
SMC20	Myeloids	347	0.3316398400606797	8
SMC21	Myeloids	62	0.8073098401715271	8
SMC22	Myeloids	86	0.10799037090850538	8
SMC23	Myeloids	242	0.9282695362822728	8
SMC24	Myeloids	379	0.6953500906312917	8
SMC25	Myeloids	76	0.5828568842567456	8
SMC01	Stromal cells	154	-0.005647823692691706	8
SMC02	Stromal cells	105	-0.18398677062455204	8
SMC03	Stromal cells	218	-0.720623058854881	8
SMC04	Stromal cells	149	-0.6046716813719679	8
SMC05	Stromal cells	16	-0.29023725788474586	8
SMC06	Stromal cells	83	-0.5986940142632466	8
SMC07	Stromal cells	209	-0.23621044215236467	8
SMC08	Stromal cells	158	-0.38022741501803725	8
SMC09	Stromal cells	45	-0.6278753797958523	8
SMC10	Stromal cells	158	-0.08956099937847428	8
SMC11	Stromal cells	53	-0.23062810482170695	8
SMC14	Stromal cells	297	-0.45161908654194355	8
SMC15	Stromal cells	306	-0.07717465375464481	8
SMC16	Stromal cells	29	-0.9436653843613185	8
SMC17	Stromal cells	203	-0.5521290454834322	8
SMC18	Stromal cells	7	-1.3676133883603199	8
SMC19	Stromal cells	37	-0.5888823078648737	8
SMC20	Stromal cells	374	-0.6049926250951114	8
SMC21	Stromal cells	4	-1.5568127579830742	8
SMC22	Stromal cells	16	-0.9171905218647938	8
SMC23	Stromal cells	33	-0.8096106667510126	8
SMC24	Stromal cells	55	-0.2507296521204788	8
SMC25	Stromal cells	27	-0.8059631418783573	8
SMC01	T cells	1244	1.342915150559147	8
SMC02	T cells	527	1.1290894158015494	8
SMC03	T cells	493	1.22702614774082	8
SMC04	T cells	459	1.1419477119723376	8
SMC05	T cells	505	1.2467023017555143	8
SMC06	T cells	949	1.127259947655723	8
SMC07	T cells	2171	1.1246511819387175	8
SMC08	T cells	997	1.2658468506162446	8
SMC09	T cells	1435	1.3661951483377959	8
SMC10	T cells	747	1.1488116400900155	8
SMC11	T cells	989	1.3210614225922241	8
SMC14	T cells	635	1.1835669153197725	8
SMC15	T cells	874	1.11337456075346	8
SMC16	T cells	149	1.1787640647488558	8
SMC17	T cells	229	1.0974220200399127	8
SMC18	T cells	273	1.0798433524857531	8
SMC19	T cells	761	1.0380280467590772	8
SMC20	T cells	347	1.0714333767296387	8
SMC21	T cells	488	1.1185462028883792	8
SMC22	T cells	336	1.2033415023376808	8
SMC23	T cells	607	1.0316694421849897	8
SMC24	T cells	668	1.2186066996472489	8
SMC25	T cells	856	0.8619415772560995	8
