k	target_gene	candidate_gene	rank	distance
25	CD4	SPON2	1	0.21877637728749813
25	CD4	PLEKHO1	2	0.23923607421789897
25	CD4	GBP4	3	0.24660359365500747
25	CD4	CDC42EP3	4	0.3006890074669977
25	CD4	FAM46C	5	0.3038314963930817
25	CD4	SYTL1	6	0.3067595852746171
25	CD4	GLCCI1	7	0.3075883762142355
25	CD4	NUP210	8	0.3077626433223398
25	CD4	PDLIM2	9	0.31344859778276196
25	CD4	TCF7	10	0.318813837581736
25	CD4	TACC3	11	0.32313098673301577
25	CD4	MAST4	12	0.33470091849572947
25	CD4	DDB2	13	0.3408316367141382
25	CD4	SATB1	14	0.341558127297036
25	CD4	POU2F2	15	0.3435602838046772
25	CD4	ST3GAL1	16	0.3448442946747057
25	CD4	TBC1D4	17	0.3483706177416998
25	CD4	PDE4B	18	0.3509129339509578
25	CD4	NCF4	19	0.35509982424502196
25	CD4	ZNF430	20	0.3600850533368494
25	CD4	METTL8	21	0.36390874459993866
25	CD4	TRIM69	22	0.3696660599346618
25	CD4	PRKACB	23	0.37075284337105396
25	CD4	BCL2L11	24	0.3760325853517415
25	CD4	MALT1	25	0.3766884131929423
25	CD4	RGS19	26	0.3785822823685089
25	CD4	DDHD1	27	0.3787602108137853
25	CD4	CNTRL	28	0.3794014862634106
25	CD4	PSD4	29	0.3809883608133344
25	CD4	EED	30	0.38145521395955534
25	CD4	IFI44	31	0.38273558664537377
25	CD4	NIN	32	0.38357021187518653
25	CD4	EPM2AIP1	33	0.38528319506941167
25	CD4	ZBTB1	34	0.3865205524729311
25	CD4	TBC1D2B	35	0.38814483656919163
25	CD4	HERC1	36	0.3883188493597667
25	CD4	CENPC	37	0.3924328516314774
25	CD4	PCNX1	38	0.39371515335652013
25	CD4	TBCD	39	0.39514943446311934
25	CD4	WDR54	40	0.3961513853412524
25	CD4	TARSL2	41	0.39741595434381155
25	CD4	ATP8A1	42	0.3978510907753387
25	CD4	CD84	43	0.3991765506318996
25	CD4	SAMD9L	44	0.40587889061712096
25	CD4	SP140L	45	0.40710873654375757
25	CD4	CWF19L2	46	0.4080811011810486
25	CD4	FOXO1	47	0.4106079416577107
25	CD4	CDKN2D	48	0.41489515287124035
25	CD4	MAPRE2	49	0.4149325624537257
25	CD4	GPRIN3	50	0.4153002187214839
25	CD4	RASSF1	51	0.41653615119738546
25	CD4	CD79B	52	0.4168259467328727
25	CD4	ZNF331	53	0.4170480356395726
25	CD4	NCKAP1L	54	0.4177367846707947
25	CD4	ERV3-1	55	0.4187058302267974
25	CD4	PVT1	56	0.4188973881589905
25	CD4	GABPB1	57	0.4189388406952977
25	CD4	RBM38	58	0.41997305530577106
25	CD4	NLRC5	59	0.42162085407708716
25	CD4	ANKRD13D	60	0.4220575601611559
25	CD4	RDX	61	0.4232879154570958
25	CD4	S100PBP	62	0.4276295314540571
25	CD4	ARHGAP4	63	0.42848588968557355
25	CD4	MOB3A	64	0.42895238947486386
25	CD4	SNAP47	65	0.4290189845877568
25	CD4	PRR5	66	0.4296566655918806
25	CD4	GLIPR2	67	0.4299875749373467
25	CD4	GABARAPL1	68	0.4315859941103092
25	CD4	DUSP16	69	0.43161430476794427
25	CD4	FRMD4B	70	0.43182747170930935
25	CD4	RP1-265C24.9	71	0.4324265543004408
25	CD4	ORMDL3	72	0.43406925209286124
25	CD4	CRTC3	73	0.4341762366564251
25	CD4	SH3BP1	74	0.4350655294028132
25	CD4	CCDC66	75	0.43736883150360484
25	CD4	CCDC88C	76	0.4375637370223992
25	CD4	FERMT3	77	0.4376504871640628
25	CD4	DDX39B	78	0.43775534169792196
25	CD4	THADA	79	0.4390576132426209
25	CD4	BTN3A1	80	0.4415470784948721
25	CD4	LAT2	81	0.4421870432923111
25	CD4	GADD45G	82	0.4425763793597779
25	CD4	OASL	83	0.44489632249683125
25	CD4	NCF1	84	0.44515527570777047
25	CD4	PITPNC1	85	0.4467821274798464
25	CD4	CENPK	86	0.44706799956394594
25	CD4	PRKX	87	0.44733521732281034
25	CD4	RAB29	88	0.44741727500467293
25	CD4	GIT2	89	0.4474728441862813
25	CD4	PDE7A	90	0.4479257227861528
25	CD4	OTULIN	91	0.4482061533708301
25	CD4	RBMS1	92	0.4490769543905199
25	CD4	AQP3	93	0.44911588024932186
25	CD4	TP53INP1	94	0.45057874800894343
25	CD4	ZNF688	95	0.4513373247296669
25	CD4	ATF7IP2	96	0.4521175454059726
25	CD4	NFKB2	97	0.4529396666681462
25	CD4	CABIN1	98	0.4531025807832741
25	CD4	PFKFB3	99	0.4531651102750951
25	CD4	MCM6	100	0.4533818447189261
25	PTPRC	TNFAIP3	1	0.26317207521125957
25	PTPRC	HCST	2	0.38289467669673644
25	PTPRC	LSP1	3	0.425773886990298
25	PTPRC	RARRES3	4	0.6284787804002816
25	PTPRC	GMFG	5	0.7094251649710677
25	PTPRC	CORO1A	6	0.7448423787658902
25	PTPRC	ALOX5AP	7	0.763823614612887
25	PTPRC	RAC2	8	0.7841444200034341
25	PTPRC	DUSP2	9	0.8133191532812062
25	PTPRC	IL2RG	10	0.8307466934140911
25	PTPRC	CYTOR	11	0.8417694305046937
25	PTPRC	BIRC3	12	0.8766589648363495
25	PTPRC	LCP1	13	0.9306546083628867
25	PTPRC	CD53	14	0.9315199729906454
25	PTPRC	IFI16	15	0.9956303947681144
25	PTPRC	CD69	16	1.0198702740198797
25	PTPRC	RBPJ	17	1.0512512775600418
25	PTPRC	EMP3	18	1.111171594621814
25	PTPRC	MSN	19	1.114492225872869
25	PTPRC	UCP2	20	1.1382311877862412
25	PTPRC	STK4	21	1.1465761377010735
25	PTPRC	LTB	22	1.1579172361540666
25	PTPRC	IL7R	23	1.1912488191638093
25	PTPRC	STK17B	24	1.1956493355291624
25	PTPRC	ISG20	25	1.2095681495949633
25	PTPRC	CELF2	26	1.2237602360241064
25	PTPRC	RGS10	27	1.2277511215609958
25	PTPRC	LEPROTL1	28	1.2379483699696463
25	PTPRC	CRIP1	29	1.2472884386152157
25	PTPRC	ANKRD12	30	1.2688135023422284
25	PTPRC	FYB1	31	1.28971161167173
25	PTPRC	CD37	32	1.293603526151529
