column,gene,median_crc_2d,rank_strongest_dependency,percentile_strongest_dependency
RPL15 (6138),RPL15,-5.485678530549905,1.0,100.0
SNRPD3 (6634),SNRPD3,-5.404190164145115,2.0,99.99460334592553
RAN (5901),RAN,-4.134657007934824,3.0,99.98920669185105
RPL17 (6139),RPL17,-3.67940721457488,4.0,99.98381003777658
HSPE1 (3336),HSPE1,-3.6514714225341276,5.0,99.9784133837021
WASHC1 (100287171),WASHC1,-3.5971050799399213,6.0,99.97301672962763
RPL21 (6144),RPL21,-3.5401085284917846,7.0,99.96762007555316
SNRPF (6636),SNRPF,-3.330303370829124,8.0,99.96222342147868
RPS8 (6202),RPS8,-3.237245498847444,9.0,99.95682676740421
PRIM2 (5558),PRIM2,-3.2339198933873736,10.0,99.95143011332974
RRM1 (6240),RRM1,-3.226811129427117,11.0,99.94603345925526
PCNA (5111),PCNA,-3.194475709648276,12.0,99.94063680518079
SNRPA1 (6627),SNRPA1,-3.1867690225697607,13.0,99.93524015110631
RPS3A (6189),RPS3A,-3.1675908930970533,14.0,99.92984349703184
RPL12 (6136),RPL12,-3.110933559455212,15.0,99.92444684295737
PSMA6 (5687),PSMA6,-3.078733181178501,16.0,99.91905018888289
RPS20 (6224),RPS20,-3.0636969572723145,17.0,99.91365353480842
PSMB3 (5691),PSMB3,-3.0522853391527267,18.0,99.90825688073394
SNRPD1 (6632),SNRPD1,-3.047088675296138,19.0,99.90286022665947
FAU (2197),FAU,-3.028065052986628,20.0,99.897463572585
PRELID1 (27166),PRELID1,-3.018483781154775,21.0,99.89206691851052
SMU1 (55234),SMU1,-3.012013088778344,22.0,99.88667026443605
PSMA3 (5684),PSMA3,-2.933210668799093,23.0,99.88127361036157
SPC24 (147841),SPC24,-2.918232303048548,24.0,99.8758769562871
POLR2L (5441),POLR2L,-2.913561917371102,25.0,99.87048030221263
RPS19 (6223),RPS19,-2.9054263906331976,26.0,99.86508364813815
SARS1 (6301),SARS1,-2.8944247374736096,27.0,99.85968699406368
ATP6V0C (527),ATP6V0C,-2.893789489766021,28.0,99.8542903399892
RPL23 (9349),RPL23,-2.8844088261200453,29.0,99.84889368591473
SF3B5 (83443),SF3B5,-2.8691903004784773,30.0,99.84349703184026
PHF5A (84844),PHF5A,-2.8548198542860383,31.0,99.83810037776578
PUF60 (22827),PUF60,-2.843512938486913,32.0,99.83270372369131
RPS29 (6235),RPS29,-2.8412170306602333,33.0,99.82730706961684
KIF11 (3832),KIF11,-2.831737357933024,34.0,99.82191041554236
EEF2 (1938),EEF2,-2.8223244286711062,35.0,99.81651376146789
GINS2 (51659),GINS2,-2.814703795379727,36.0,99.81111710739341
VCP (7415),VCP,-2.811022476587405,37.0,99.80572045331894
CDK1 (983),CDK1,-2.808933642499307,38.0,99.80032379924447
TXNL4A (10907),TXNL4A,-2.806175556591017,39.0,99.79492714516999
RPL6 (6128),RPL6,-2.796187461873559,40.0,99.78953049109552
CDC45 (8318),CDC45,-2.792132422862988,41.0,99.78413383702105
RPSA (3921),RPSA,-2.7916827141148204,42.0,99.77873718294657
PLK1 (5347),PLK1,-2.791287238060868,43.0,99.7733405288721
SRSF3 (6428),SRSF3,-2.782613585669853,44.0,99.76794387479762
RPS11 (6205),RPS11,-2.7818728049022514,45.0,99.76254722072315
RPS15A (6210),RPS15A,-2.769257587287095,46.0,99.75715056664868
RPL4 (6124),RPL4,-2.750831420486173,47.0,99.7517539125742
CCT3 (7203),CCT3,-2.749762211177823,48.0,99.74635725849973
ANKLE2 (23141),ANKLE2,-2.716159168079812,49.0,99.74096060442525
RPL3 (6122),RPL3,-2.667708889791207,50.0,99.73556395035078
PRPF19 (27339),PRPF19,-2.667053174505556,51.0,99.7301672962763
RPL8 (6132),RPL8,-2.663370349738227,52.0,99.72477064220183
RPL31 (6160),RPL31,-2.6576989760667318,53.0,99.71937398812736
RRN3 (54700),RRN3,-2.657111110709024,54.0,99.71397733405288
BUB3 (9184),BUB3,-2.6543372968701235,55.0,99.70858067997841
TOP2A (7153),TOP2A,-2.65307641820721,56.0,99.70318402590394
DNA2 (1763),DNA2,-2.6468492980439966,57.0,99.69778737182946
RPS4X (6191),RPS4X,-2.645588252363927,58.0,99.692390717755
HNRNPK (3190),HNRNPK,-2.6359073512753337,59.0,99.68699406368053
DONSON (29980),DONSON,-2.6350341352049726,60.0,99.68159740960604
SNRNP200 (23020),SNRNP200,-2.5961445382259534,61.0,99.67620075553157
YRDC (79693),YRDC,-2.5843691382922813,62.0,99.6708041014571
LSM2 (57819),LSM2,-2.5817792191021858,63.0,99.66540744738262
SS18L2 (51188),SS18L2,-2.567732429016223,64.0,99.66001079330815
POLR3A (11128),POLR3A,-2.561368760006029,65.0,99.65461413923367
LRR1 (122769),LRR1,-2.559309738920412,66.0,99.6492174851592
SF1 (7536),SF1,-2.5554589102952625,67.0,99.64382083108472
RPL18A (6142),RPL18A,-2.545328995785791,68.0,99.63842417701025
VPS25 (84313),VPS25,-2.53924382118649,69.0,99.63302752293578
SRSF2 (6427),SRSF2,-2.507281804030097,70.0,99.6276308688613
RRM2 (6241),RRM2,-2.5000048786833,71.0,99.62223421478683
PSMA7 (5688),PSMA7,-2.4970784809400133,72.0,99.61683756071236
RPL7A (6130),RPL7A,-2.4965540403977,73.0,99.61144090663788
XAB2 (56949),XAB2,-2.496364288321539,74.0,99.60604425256341
RPS23 (6228),RPS23,-2.493543038603856,75.0,99.60064759848893
CDC123 (8872),CDC123,-2.492404006439782,76.0,99.59525094441446
RPS6 (6194),RPS6,-2.486027991742378,77.0,99.58985429033999
SNRPG (6637),SNRPG,-2.4840080364367134,78.0,99.58445763626551
WEE1 (7465),WEE1,-2.4838787485758798,79.0,99.57906098219104
FOXD4L1 (200350),FOXD4L1,-2.4793364426214484,80.0,99.57366432811656
ESPL1 (9700),ESPL1,-2.4785395715401872,81.0,99.5682676740421
CDC27 (996),CDC27,-2.477475058539317,82.0,99.56287101996763
KPNB1 (3837),KPNB1,-2.475870268558546,83.0,99.55747436589316
BUD31 (8896),BUD31,-2.474078172570219,84.0,99.55207771181868
RPS2 (6187),RPS2,-2.461008436195653,85.0,99.5466810577442
GINS1 (9837),GINS1,-2.4532071312267267,86.0,99.54128440366972
RPS18 (6222),RPS18,-2.4529834866899383,87.0,99.53588774959525
DYNLRB1 (83658),DYNLRB1,-2.431648738138346,88.0,99.53049109552077
RUVBL1 (8607),RUVBL1,-2.413725778261358,89.0,99.5250944414463
SF3B3 (23450),SF3B3,-2.41148709848019,90.0,99.51969778737183
EEF1A1 (1915),EEF1A1,-2.4067964104745854,91.0,99.51430113329735
UBL5 (59286),UBL5,-2.405328577892525,92.0,99.50890447922288
HSPA9 (3313),HSPA9,-2.4015197965291866,93.0,99.5035078251484
DTL (51514),DTL,-2.3953424788711617,94.0,99.49811117107393
PSMB4 (5692),PSMB4,-2.388455849507356,95.0,99.49271451699946
RPL32 (6161),RPL32,-2.3875335850623096,96.0,99.48731786292498
FARSB (10056),FARSB,-2.3798334215434047,97.0,99.48192120885051
SNRPD2 (6633),SNRPD2,-2.372851120853755,98.0,99.47652455477603
CDC16 (8881),CDC16,-2.3676335833618283,99.0,99.47112790070156
YARS1 (8565),YARS1,-2.3648222665695484,100.0,99.46573124662709
COPB1 (1315),COPB1,-2.355966513249392,101.0,99.46033459255261
RPA1 (6117),RPA1,-2.350407871666181,102.0,99.45493793847814
PSMD14 (10213),PSMD14,-2.3392977918773434,103.0,99.44954128440367
PSMA1 (5682),PSMA1,-2.3367472373939577,104.0,99.4441446303292
POLR2B (5431),POLR2B,-2.336658200967311,105.0,99.43874797625473
NSF (4905),NSF,-2.3292525819416903,106.0,99.43335132218026
RPL27 (6155),RPL27,-2.326193527682192,107.0,99.42795466810578
DHDDS (79947),DHDDS,-2.3247412291342746,108.0,99.42255801403131
RPL19 (6143),RPL19,-2.320103562963376,109.0,99.41716135995684
RPL14 (9045),RPL14,-2.318212039233196,110.0,99.41176470588235
PSMA2 (5683),PSMA2,-2.314103844575576,111.0,99.40636805180787
RPL13 (6137),RPL13,-2.314047099140919,112.0,99.4009713977334
RPL23A (6147),RPL23A,-2.311766308468721,113.0,99.39557474365893
RNGTT (8732),RNGTT,-2.3106414879767843,114.0,99.39017808958445
RPL11 (6135),RPL11,-2.3084520212046846,115.0,99.38478143550998
EIF1AX (1964),EIF1AX,-2.3037667031314744,116.0,99.3793847814355
RPL9 (6133),RPL9,-2.2933226510726112,117.0,99.37398812736103
MCM7 (4176),MCM7,-2.292580067844597,118.0,99.36859147328656
UQCRH (7388),UQCRH,-2.2898194389855218,119.0,99.36319481921208
INTS11 (54973),INTS11,-2.2873771670513148,120.0,99.35779816513761
POLR2C (5432),POLR2C,-2.286579174426169,121.0,99.35240151106314
RPL10A (4736),RPL10A,-2.2801293101887388,122.0,99.34700485698866
DBR1 (51163),DBR1,-2.261796436929485,123.0,99.34160820291419
RPS9 (6203),RPS9,-2.255405704016124,124.0,99.33621154883971
AARS1 (16),AARS1,-2.254816390295032,125.0,99.33081489476524
RPS15 (6209),RPS15,-2.2503200413819178,126.0,99.32541824069078
SF3B4 (10262),SF3B4,-2.2397687974217964,127.0,99.3200215866163
CDC20 (991),CDC20,-2.2382110833161475,128.0,99.31462493254183
RPL26 (6154),RPL26,-2.236330718813126,129.0,99.30922827846736
CHAF1B (8208),CHAF1B,-2.2271097726538627,130.0,99.30383162439288
EIF2S1 (1965),EIF2S1,-2.2238537557163225,131.0,99.29843497031841
SF3A3 (10946),SF3A3,-2.220939671979893,132.0,99.29303831624394
RPL24 (6152),RPL24,-2.22003108978168,133.0,99.28764166216946
RSL24D1 (51187),RSL24D1,-2.217296852983028,134.0,99.28224500809499
PSMD7 (5713),PSMD7,-2.2033780344628977,135.0,99.2768483540205
RPS28 (6234),RPS28,-2.203120348148096,136.0,99.27145169994603
TARS1 (6897),TARS1,-2.200619799208652,137.0,99.26605504587155
CDC23 (8697),CDC23,-2.1972060677707264,138.0,99.26065839179708
NIP7 (51388),NIP7,-2.1830398225870384,139.0,99.2552617377226
RPL18 (6141),RPL18,-2.181445439728688,140.0,99.24986508364813
PPWD1 (23398),PPWD1,-2.1798888073489437,141.0,99.24446842957366
GPN2 (54707),GPN2,-2.178826391636492,142.0,99.23907177549918
SBDS (51119),SBDS,-2.1748132318341367,143.0,99.23367512142471
PAFAH1B1 (5048),PAFAH1B1,-2.1694976273755096,144.0,99.22827846735024
RPL5 (6125),RPL5,-2.168524333756872,145.0,99.22288181327576
SF3A1 (10291),SF3A1,-2.1534914268222094,146.0,99.21748515920129
CDC7 (8317),CDC7,-2.149541267696214,147.0,99.21208850512681
PSMB6 (5694),PSMB6,-2.146798598502316,148.0,99.20669185105234
RPL13A (23521),RPL13A,-2.141063767069432,149.0,99.20129519697788
COPB2 (9276),COPB2,-2.1401335968344704,150.0,99.19589854290341
WDR43 (23160),WDR43,-2.1360752565643755,151.0,99.19050188882893
DUT (1854),DUT,-2.135756288458637,152.0,99.18510523475446
