gene,n_crc_2d,median_crc_2d,mean_crc_2d,q1_crc_2d,q3_crc_2d,pct_crc_lt_minus_0_5,pct_crc_lt_minus_1
SCD,63,-1.1639835954295306,-1.252209530840273,-1.6435688629917682,-0.7512866449980093,88.88888888888889,60.317460317460316
FCGR1A,31,-0.744072074412321,-0.7775233830683244,-0.9008569884585428,-0.590665877355977,90.32258064516128,19.35483870967742
CD24,3,-0.4164419916765821,-0.3148821634632638,-0.4409432698563446,-0.23960097117684218,0.0,0.0
ERBB2,63,-0.3604983174580149,-0.4173275993791553,-0.5738545979542473,-0.20852810217086604,34.92063492063492,3.1746031746031744
EGFR,63,-0.2558103209015928,-0.3445087602520106,-0.5923743601992811,-0.01251411173374835,33.33333333333333,9.523809523809524
FCGR2B,63,-0.1876418320151651,-0.19778308510136292,-0.26817050634138667,-0.13086601777815135,1.5873015873015872,0.0
SIGLEC10,63,-0.0970567993446501,-0.09038744636551138,-0.1710087469568261,-0.02006514322223355,0.0,0.0
PTPRC,31,-0.0812603390734097,-0.10001922033548606,-0.2007057220643858,-0.00634752273843505,0.0,0.0
CCR7,63,-0.0798190713884793,-0.08465233313225909,-0.1744037381441657,0.0327551763793281,0.0,0.0
CDH2,63,-0.0787188464925948,-0.06677946650664071,-0.12318108535432686,-0.0013002827791981503,1.5873015873015872,0.0
KANK4,63,-0.0518480462961685,-0.06485552682618766,-0.15451101074325005,0.024205986441966,0.0,0.0
CTLA4,63,-0.036111610593369,-0.05270399731530942,-0.15807873913951334,0.028384578146658603,0.0,0.0
CD22,63,-0.023118864975623,-0.031681548981593456,-0.1087773726255131,0.0539852053393577,0.0,0.0
LAG3,63,-0.022209105879542,-0.030615309830297657,-0.115048300110008,0.059575353852436896,0.0,0.0
SIRPA,31,-0.0217355494267204,-0.05844327110037038,-0.20174249082723167,0.0728463766371065,0.0,0.0
PDCD1,63,-0.0175207650115815,-0.011477514724785315,-0.12709091161221925,0.09464532086677954,0.0,0.0
HLA-DRA,63,-0.012756827420252,-0.013064409056202647,-0.109650634665972,0.050524536831130645,0.0,0.0
CD19,63,-0.0029508169361993,-0.012688013328116015,-0.0873656300285916,0.09498743871902621,3.1746031746031744,0.0
CD4,63,-0.0025098189141913,0.00827165676203135,-0.08557943206169336,0.08904093409311555,1.5873015873015872,0.0
CD86,63,-0.0023908056956855,-0.007029256284445327,-0.0903896005549404,0.05755531825550015,0.0,0.0
CD38,63,0.0031710045851259,0.018820223982656575,-0.0320616512715928,0.07606874001642314,0.0,0.0
C3,63,0.0116753490646964,0.025599076633265754,-0.02503148564238635,0.0979722173318786,0.0,0.0
CD109,63,0.0124113939093864,0.0013889543979048531,-0.08011013180971191,0.08514209687768601,0.0,0.0
HAVCR2,63,0.026474082945314,0.013950082260260389,-0.04985527721292225,0.09183484588532531,0.0,0.0
ATF3,63,0.0362744197804532,0.029613786683870755,-0.022251404242450153,0.09729913054324604,0.0,0.0
STAT1,63,0.04047876103866,0.05932646498163052,-0.0113169174344134,0.12357834931409789,0.0,0.0
CD80,63,0.0469367964383888,0.06789995124315693,-0.0339821688667554,0.1712037971685274,0.0,0.0
ANO6,63,0.0519913460249199,0.04403415092264066,-0.00428757076593235,0.10961177827198745,0.0,0.0
BCAS1,63,0.05445637059856,0.03145063571595123,-0.043965345580429346,0.1201635542246818,1.5873015873015872,0.0
MSLN,63,0.0586929369667171,0.06545858167290085,0.010388488070824601,0.1185881236960946,0.0,0.0
VSIR,63,0.0590525159377453,0.0715045995731059,-0.0052339900335529495,0.15447372947632587,0.0,0.0
CH25H,63,0.0603366082906846,0.033702345401506274,-0.057002010612101556,0.14191115017865968,0.0,0.0
CD47,63,0.0630091306442529,0.050136282977637496,-0.0441324747533631,0.14676803990798826,1.5873015873015872,0.0
IL6,63,0.0958655314095658,0.09978405383553796,0.019969010372491998,0.17104374958339785,0.0,0.0
CTSE,63,0.1028949099508558,0.09565906370017495,0.0364225442138115,0.1605183917592073,0.0,0.0
FCGR3A,62,0.10661188509046175,0.10722998452628091,0.01512779296931375,0.2011200896681687,0.0,0.0
CEACAM5,63,0.1094554682550561,0.11676872142653921,0.0219155952302579,0.19173843769684765,0.0,0.0
CLSTN2,63,0.1132778331279538,0.11732223433147791,0.021705620396124448,0.19700130231387836,0.0,0.0
CD274,63,0.157804012348169,0.14156696552433742,0.06328010683067065,0.25001046230223556,0.0,0.0
