gene,n_organoid,median_organoid,q1_organoid,q3_organoid,pct_officially_depleted,n_crc_2d,median_crc_2d,mean_crc_2d,q1_crc_2d,q3_crc_2d,pct_crc_lt_minus_0_5,pct_crc_lt_minus_1
ANO6,85,-0.0295134206457449,-0.162315518899956,0.120094501496437,3.5294117647058822,63,0.0519913460249199,0.04403415092264066,-0.00428757076593235,0.10961177827198745,0.0,0.0
ATF3,85,-0.115261601898179,-0.274312756111461,0.0099891986039027,3.5294117647058822,63,0.0362744197804532,0.029613786683870755,-0.022251404242450153,0.09729913054324604,0.0,0.0
BCAS1,85,0.0593945393396735,-0.0774200492525275,0.152495639018893,0.0,63,0.05445637059856,0.03145063571595123,-0.043965345580429346,0.1201635542246818,1.5873015873015872,0.0
C3,85,-0.0039093397693334,-0.164215379051129,0.145802060813977,0.0,63,0.0116753490646964,0.025599076633265754,-0.02503148564238635,0.0979722173318786,0.0,0.0
CCR7,85,0.0204965608452448,-0.15093177491148,0.154792330164403,0.0,63,-0.0798190713884793,-0.08465233313225909,-0.1744037381441657,0.0327551763793281,0.0,0.0
CD109,85,-0.0913263121605025,-0.207320754950346,0.0344389000655806,0.0,63,0.0124113939093864,0.0013889543979048531,-0.08011013180971191,0.08514209687768601,0.0,0.0
CD19,85,0.0770134642000529,-0.0145144792715261,0.218851564890932,0.0,63,-0.0029508169361993,-0.012688013328116015,-0.0873656300285916,0.09498743871902621,3.1746031746031744,0.0
CD22,85,-0.0402518251934903,-0.202477656631656,0.168028594306033,2.3529411764705883,63,-0.023118864975623,-0.031681548981593456,-0.1087773726255131,0.0539852053393577,0.0,0.0
CD274,85,0.134357431781512,0.0268597789580801,0.225647826374393,0.0,63,0.157804012348169,0.14156696552433742,0.06328010683067065,0.25001046230223556,0.0,0.0
CD38,85,-0.0491366372456945,-0.193361590336289,0.0698731465628359,0.0,63,0.0031710045851259,0.018820223982656575,-0.0320616512715928,0.07606874001642314,0.0,0.0
CD4,85,-0.0377696566646395,-0.181190310078121,0.114612972807593,4.705882352941177,63,-0.0025098189141913,0.00827165676203135,-0.08557943206169336,0.08904093409311555,1.5873015873015872,0.0
CD47,85,0.119181682171789,-0.0708849174468707,0.295244312563389,0.0,63,0.0630091306442529,0.050136282977637496,-0.0441324747533631,0.14676803990798826,1.5873015873015872,0.0
CD80,85,0.0691243967477187,-0.0455357974065874,0.170701280914903,0.0,63,0.0469367964383888,0.06789995124315693,-0.0339821688667554,0.1712037971685274,0.0,0.0
CD86,85,-0.264753911139997,-0.458892052777693,-0.10093959267131,22.35294117647059,63,-0.0023908056956855,-0.007029256284445327,-0.0903896005549404,0.05755531825550015,0.0,0.0
CDH2,85,-0.0448858653841892,-0.150976421367078,0.0656241647072903,1.1764705882352942,63,-0.0787188464925948,-0.06677946650664071,-0.12318108535432686,-0.0013002827791981503,1.5873015873015872,0.0
CEACAM5,85,-0.126041676730751,-0.335621137681733,-0.0034202510864908,7.0588235294117645,63,0.1094554682550561,0.11676872142653921,0.0219155952302579,0.19173843769684765,0.0,0.0
