Sample,Tissue,n,candidates,rate,lineage
P0104,N,324,0,0.0,All leukocytes
P0104,P,1517,0,0.0,All leukocytes
P0104,T,3035,0,0.0,All leukocytes
P0123,N,2416,4,0.0016556291390728477,All leukocytes
P0123,P,2045,0,0.0,All leukocytes
P0123,T,145,0,0.0,All leukocytes
P0202,P,162,0,0.0,All leukocytes
P0202,T,101,0,0.0,All leukocytes
P0305,N,732,1,0.001366120218579235,All leukocytes
P0305,T,1,0,0.0,All leukocytes
P0323,P,95,0,0.0,All leukocytes
P0323,T,188,0,0.0,All leukocytes
P0408,N,957,2,0.0020898641588296763,All leukocytes
P0408,P,7813,0,0.0,All leukocytes
P0408,T,1321,1,0.000757002271006813,All leukocytes
P0410,N,3215,7,0.002177293934681182,All leukocytes
P0410,P,6484,0,0.0,All leukocytes
P0410,T,1821,1,0.0005491488193300384,All leukocytes
P0613,N,231,0,0.0,All leukocytes
P0613,P,742,0,0.0,All leukocytes
P0613,T,410,0,0.0,All leukocytes
P1025,N,2187,0,0.0,All leukocytes
P1025,T,811,0,0.0,All leukocytes
P1026,N,2595,0,0.0,All leukocytes
P1026,P,1608,0,0.0,All leukocytes
P1026,T,2861,0,0.0,All leukocytes
P0104,N,134,0,0.0,B cell
P0104,P,6,0,0.0,B cell
P0104,T,51,0,0.0,B cell
P0123,N,2208,4,0.0018115942028985507,B cell
P0123,P,549,0,0.0,B cell
P0123,T,77,0,0.0,B cell
P0202,P,1,0,0.0,B cell
P0202,T,3,0,0.0,B cell
P0305,N,652,1,0.0015337423312883436,B cell
P0323,P,77,0,0.0,B cell
P0323,T,73,0,0.0,B cell
P0408,N,336,1,0.002976190476190476,B cell
P0408,P,50,0,0.0,B cell
P0408,T,590,0,0.0,B cell
P0410,N,1336,2,0.0014970059880239522,B cell
P0410,P,1032,0,0.0,B cell
P0410,T,120,0,0.0,B cell
P0613,N,131,0,0.0,B cell
P0613,P,9,0,0.0,B cell
P0613,T,52,0,0.0,B cell
P1025,N,468,0,0.0,B cell
P1025,T,291,0,0.0,B cell
P1026,N,751,0,0.0,B cell
P1026,P,95,0,0.0,B cell
P1026,T,699,0,0.0,B cell
P0104,N,2,0,0.0,CD4 T cell
P0104,P,1,0,0.0,CD4 T cell
P0104,T,1404,0,0.0,CD4 T cell
P0123,N,10,0,0.0,CD4 T cell
P0123,P,26,0,0.0,CD4 T cell
P0123,T,1,0,0.0,CD4 T cell
P0408,N,38,0,0.0,CD4 T cell
P0408,P,502,0,0.0,CD4 T cell
P0408,T,401,0,0.0,CD4 T cell
P0410,N,671,1,0.0014903129657228018,CD4 T cell
P0410,P,2368,0,0.0,CD4 T cell
P0410,T,335,0,0.0,CD4 T cell
P0613,N,47,0,0.0,CD4 T cell
P0613,P,323,0,0.0,CD4 T cell
P0613,T,201,0,0.0,CD4 T cell
P1025,N,1104,0,0.0,CD4 T cell
P1025,T,350,0,0.0,CD4 T cell
P1026,N,936,0,0.0,CD4 T cell
P1026,P,1173,0,0.0,CD4 T cell
P1026,T,1135,0,0.0,CD4 T cell
P0104,N,4,0,0.0,CD8 T cell
P0104,P,1,0,0.0,CD8 T cell
P0104,T,1229,0,0.0,CD8 T cell
P0123,N,22,0,0.0,CD8 T cell
P0123,P,30,0,0.0,CD8 T cell
