,Sample,Tissue,Global_Cluster,Sub_Cluster,CEACAM5_TPM,epi_score
P_N_P0410_09511,P0410,N,CD4 T cell,hT05_CD4-CXCR6,1.17088606549328,0.0
P_N_P0408_13033,P0408,N,CD8 T cell,hT17_CD8-CD160,1.68859121883035,0.0
P_N_P0410_13224,P0410,N,CD8 T cell,hT17_CD8-CD160,1.65557348910981,0.0
P_T_P0410_15105,P0410,T,CD8 T cell,hT15_CD8-GZMK,1.37917339571783,0.0
P_N_P0410_15486,P0410,N,CD8 T cell,hT15_CD8-GZMK,1.32902076321367,0.0
P_N_P0410_19336,P0410,N,CD8 T cell,hT17_CD8-CD160,1.06774818404717,0.0
P_N_P0410_19490,P0410,N,CD8 T cell,hT17_CD8-CD160,1.36116072897411,0.0
P_N_P0123_23420,P0123,N,B cell,hB01_PlasmaB-IgG,1.16013824679539,0.0
P_N_P0408_23897,P0408,N,B cell,hB01_PlasmaB-IgG,1.08717904456521,0.0
P_N_P0410_26203,P0410,N,B cell,hB04_FollicularB-MS4A1,1.385105797768,0.0
P_N_P0410_26548,P0410,N,B cell,hB04_FollicularB-MS4A1,1.32219457854947,0.0
P_N_P0123_28065,P0123,N,B cell,hB02_GALTB-IgA,1.14637300865629,0.0
P_N_P0123_28285,P0123,N,B cell,hB02_GALTB-IgA,1.3475275922832,0.0
P_N_P0123_28445,P0123,N,B cell,hB02_GALTB-IgA,1.32230246289222,0.0
P_N_P0305_29058,P0305,N,B cell,hB02_GALTB-IgA,1.54581824945842,0.0
P_T_P0408_42291,P0408,T,Myeloid cell,hM13_TAM-SPP1,3.13428878170638,0.0
