set	gene
frozen_8_gene_module	CD4
frozen_8_gene_module	PTPRC
frozen_8_gene_module	CTLA4
frozen_8_gene_module	PDCD1
frozen_8_gene_module	HAVCR2
frozen_8_gene_module	VSIR
frozen_8_gene_module	LAG3
frozen_8_gene_module	CD38
CMScaller_CMS4_template	SYDE1
CMScaller_CMS4_template	MRAS
CMScaller_CMS4_template	FERMT2
CMScaller_CMS4_template	GLI3
CMScaller_CMS4_template	MYL9
CMScaller_CMS4_template	EVC
CMScaller_CMS4_template	MAP1A
CMScaller_CMS4_template	FGFR1
CMScaller_CMS4_template	SERPINF1
CMScaller_CMS4_template	SPOCK1
CMScaller_CMS4_template	ATP8B2
CMScaller_CMS4_template	VIM
CMScaller_CMS4_template	DZIP1
CMScaller_CMS4_template	TIMP2
CMScaller_CMS4_template	FBLN1
CMScaller_CMS4_template	TNS1
CMScaller_CMS4_template	ANGPTL2
CMScaller_CMS4_template	ARHGEF17
CMScaller_CMS4_template	ANTXR1
CMScaller_CMS4_template	SYT11
CMScaller_CMS4_template	NRP2
CMScaller_CMS4_template	MFGE8
CMScaller_CMS4_template	LBH
CMScaller_CMS4_template	FBN1
CMScaller_CMS4_template	MPDZ
CMScaller_CMS4_template	COL6A2
CMScaller_CMS4_template	AXL
CMScaller_CMS4_template	PTPRM
CMScaller_CMS4_template	AKT3
CMScaller_CMS4_template	ZEB1
CMScaller_CMS4_template	TGFB1I1
CMScaller_CMS4_template	HSPB8
CMScaller_CMS4_template	FILIP1L
CMScaller_CMS4_template	TCF4
CMScaller_CMS4_template	C14orf132
CMScaller_CMS4_template	NOTCH3
CMScaller_CMS4_template	IL1R1
CMScaller_CMS4_template	TIMP3
CMScaller_CMS4_template	PKD2
CMScaller_CMS4_template	TUBB6
CMScaller_CMS4_template	CDH11
CMScaller_CMS4_template	LAMA4
CMScaller_CMS4_template	MRC2
CMScaller_CMS4_template	PTRF
CMScaller_CMS4_template	FHL1
CMScaller_CMS4_template	PLEKHO1
CMScaller_CMS4_template	DPYSL3
CMScaller_CMS4_template	ITGA5
CMScaller_CMS4_template	COPZ2
CMScaller_CMS4_template	MCC
CMScaller_CMS4_template	PCDH7
CMScaller_CMS4_template	APBB1
CMScaller_CMS4_template	LOX
CMScaller_CMS4_template	TMEM47
CMScaller_CMS4_template	PDLIM7
CMScaller_CMS4_template	INHBA
CMScaller_CMS4_template	SPON2
CMScaller_CMS4_template	COL18A1
CMScaller_CMS4_template	C16orf45
CMScaller_CMS4_template	CYBRD1
CMScaller_CMS4_template	CNTNAP1
CMScaller_CMS4_template	EML1
CMScaller_CMS4_template	TPM2
CMScaller_CMS4_template	TENM3
CMScaller_CMS4_template	CTGF
CMScaller_CMS4_template	GLI2
CMScaller_CMS4_template	NR3C1
CMScaller_CMS4_template	QKI
CMScaller_CMS4_template	FZD1
CMScaller_CMS4_template	DLC1
