sample_id	CD4	PTPRC	CTLA4	PDCD1	HAVCR2	VSIR	LAG3	CD38
GSM971957	6.492617022	6.542722977	5.027779558	5.479095365	6.910137744	7.01997986	4.248040464	4.712387142
GSM971958	6.871069396	7.149701543	4.391925178	5.34355132	6.82897942	7.929617782	4.446673879	5.290163188
GSM971959	6.590019222	5.461592531	4.606359888	5.690080355	5.239058875	6.819713393	4.245723099	4.959118942
GSM971960	6.713731834	6.443492644	4.956618212	5.629057205	5.377961141	6.985402363	4.617136783	5.703621966
GSM971961	8.063114703	8.330445262	4.691311976	5.378507865	8.215504456	7.676389149	3.715107634	5.259624908
GSM971962	7.657234997	8.319118571	5.03384076	5.42988343	6.91283508	8.300677806	4.882303805	6.38446838
GSM971963	8.581354146	9.706063608	6.181880138	6.000281383	8.493918487	8.21762915	7.645309375	8.651484133
GSM971964	6.460125623	6.866957301	4.38002701	5.659402143	5.654175917	7.067379775	4.252789218	6.208304598
GSM971965	6.883944911	6.145290079	4.497593997	5.491404693	5.795180845	6.831981884	4.2350382	4.641023704
GSM971966	6.253570899	6.282505692	4.463168582	5.428202622	5.88787562	6.87969393	3.749630489	4.599916702
GSM971967	6.220629067	5.38512459	4.397003929	5.633129205	5.453544029	6.846234633	3.825716937	4.650372909
GSM971968	7.810681336	8.624956526	4.930555403	5.419254887	6.868037969	7.672856524	4.348681093	5.616926293
GSM971969	7.684847049	7.788182857	4.929757777	6.085772722	7.504612569	8.282355751	5.195453855	7.79499894
GSM971970	6.178001607	4.235821235	4.716672942	5.941981438	5.686535244	7.304977929	4.385415725	3.890160213
GSM971971	7.277393835	8.263470079	5.6177271	5.581905007	6.638274836	7.569037826	5.7249014	6.777221569
GSM971972	6.987862263	5.985819588	5.00098872	6.071530825	6.887185316	6.826820009	4.793120729	5.236178992
GSM971973	6.227473545	5.690196026	4.255496427	5.547244122	5.474636976	6.339336436	4.340781775	4.146328271
GSM971974	6.483441988	6.329901983	4.718981546	5.640047922	5.714725521	7.124188323	3.847801257	4.902386575
GSM971975	6.583156644	6.46088345	4.833696305	5.955385989	5.666708953	7.446887881	4.34527812	5.122189151
GSM971976	6.112018647	5.523237389	4.270873603	5.44847302	4.773157876	6.062859709	4.047288043	4.622298088
GSM971977	7.566610875	7.96081491	4.943936693	5.751743982	7.544987742	7.292524206	4.919178258	5.606248918
GSM971978	7.051964202	7.274810268	4.734913326	5.829475082	7.124503575	6.768512932	5.688478724	5.829988072
GSM971979	6.730702844	6.521925852	4.612285291	5.651829309	6.149645965	7.634582467	4.236285866	4.477694788
GSM971980	6.882119003	7.651134732	4.96381799	5.133301609	6.614258282	7.919901503	5.019477392	6.064213959
GSM971981	7.685794844	8.197103348	4.966110623	5.787319801	8.159984477	6.926533335	5.383763332	6.554333993
GSM971982	7.367690768	8.200803266	5.179522465	5.694286363	7.161485899	7.285846369	5.119048581	5.845086827
GSM971983	7.538382644	8.540474926	4.976760089	5.604275231	7.461169761	7.928786235	4.794540855	6.787996478
GSM971984	7.081672802	7.871897007	5.190158871	5.946418612	7.656799928	7.134802392	5.373787916	6.486203222
GSM971985	6.446366308	7.117670843	4.959554848	5.356950284	5.319584062	6.864770824	4.055175678	5.941878693
GSM971986	7.521155813	7.442233744	5.064226586	6.270961835	5.914078315	7.372681327	5.276857057	4.863380691
GSM971987	6.98535075	8.299743293	5.145149981	5.515923235	6.917378149	8.242615979	4.1604434	4.897276015
GSM971988	5.981299178	5.716853314	4.334124456	5.623560804	5.359392679	7.569313352	4.206948832	4.605035329
GSM971989	6.078104802	6.036502088	4.571953218	5.618644309	5.219568555	7.021290311	4.348885025	4.725985176
GSM971990	6.611131148	8.057445788	5.450391346	5.682154872	6.526555127	7.363289653	4.982316829	6.740702494
GSM971991	6.317662642	7.583502722	4.741111539	5.909182644	5.805344995	6.648186587	4.212305804	5.459857361
GSM971992	6.477836554	7.271186636	4.950259559	5.785639913	5.463144583	7.129448998	4.633604129	6.266484932
GSM971993	6.976594716	7.850351002	5.307692858	5.701419597	6.746459871	7.475772151	5.036967875	5.205631235
GSM971994	6.039339594	6.054008247	4.647694591	5.699232707	5.368614026	6.331833824	4.244879558	4.807464966
GSM971995	7.390197783	6.908716616	4.712531594	5.826417109	5.962119736	7.808847565	4.8037338	5.521375493
GSM971996	8.108198039	8.266586152	5.699404029	5.911922255	7.777425809	8.098929438	5.47387624	5.926525107
GSM971997	7.723626299	9.445111056	5.380989442	5.286626474	7.074943551	7.949898533	5.481583327	7.041788916
GSM971998	7.096761431	7.629858323	4.485250512	5.872195991	5.856845881	7.829787571	4.154200875	5.882081405
GSM971999	7.333371421	8.269156827	4.948404063	5.711809332	6.078636095	7.788442103	5.028817325	6.566040258
GSM972000	6.788136414	6.05450158	4.344286818	6.061256629	5.857356088	6.241399238	4.103838499	4.165686028
GSM972001	6.625965367	7.562236332	4.680459828	5.281256011	5.280081046	7.16466339	4.877366051	6.336302656
GSM972002	6.08514714	5.527388003	4.433298374	5.347566045	5.277316003	6.780552363	3.92358737	4.340670306
GSM972003	6.18405571	5.452687919	4.642704323	5.910819477	5.178215858	7.049261347	4.090250058	5.234502076
GSM972004	6.66421291	6.159100945	4.52066313	5.700072209	5.110444669	6.334466096	3.954402385	5.078084612
GSM972005	5.564843239	3.029980858	4.309641307	5.790810854	4.50227837	6.01942509	3.710056529	4.009383754
GSM972006	6.57471748	7.518866209	5.244051847	5.936140884	5.525206001	6.667559299	4.296771617	4.318409144
GSM972007	7.586945592	8.116745158	4.863041906	5.259248062	6.796532032	8.199451488	4.498606465	5.471367133
GSM972008	6.526573368	6.970368448	4.576989651	5.475990906	6.846410331	7.747112358	4.391508632	4.995189663
GSM972009	6.748165702	6.710010216	4.556585769	5.782925023	5.251629975	7.501819733	4.444052781	5.134329732
GSM972010	6.778227189	7.631092364	4.940295323	5.614639893	5.99641945	6.823956353	4.150775892	4.858734509
GSM972011	7.264757346	7.957762564	4.751201247	5.256802151	6.922738644	7.648775462	4.788991388	5.660454087
GSM972012	6.607903964	6.323989387	4.83667623	5.574988599	4.799791989	6.309742194	4.061832812	5.477016712
GSM972013	6.095732508	5.473454559	4.45553071	5.301015377	5.405410097	6.569433828	4.07553039	4.124391351
GSM972014	6.025986415	5.853783493	4.513439952	5.252620576	5.330230247	6.484418297	3.887263963	4.345053313
GSM972015	6.078278166	5.197584852	4.455935836	5.529787141	5.843265765	7.466684757	4.156890523	4.463255023
GSM972016	6.786197379	6.534860969	4.725039323	5.597548411	6.444090685	8.053172961	4.349119402	5.369026926
GSM972017	7.093672629	6.619226067	5.137126682	5.789593582	5.900520341	7.131942044	4.529668674	5.214914579
GSM972018	6.938501071	8.337546799	5.238100842	5.802456791	7.273025116	7.112396481	5.154133728	6.82156045
GSM972019	7.215792439	8.688864077	5.130267382	5.259029249	7.652524696	7.726150116	4.947098411	6.084396864
