Feature,Gene,Feature_type,b_coef,R_squared_LR,P_val_LRT,P_val_LRT_BH,MEAN_group1,MEAN_group2,MEAN_difference,Cohens_coef,Similar_variable_chi.square,Feature_duplicated,biomarker_class,cohens_coef_quantile_90,cohens_coef_quantile_95,ASSOCIATION_EFFECT,ct
HSP90AB1_amp,DDX39A,CN,-1.06012838410726,0.321292846121256,2.04811123939676e-08,4.43757435202631e-07,-0.0472649659220377,-1.07015147442139,-1.02288650849935,0.412059268408559,ACSL3_GoF/chrYq_amp/FBN2_LoF/KRAS_A146,NFKBIE_GoF,A,True,True,Increased Dep.,Colorectal
HSP90AB1_amp,DDX39A,CN,-1.06012838410726,0.321292846121256,2.04811123939676e-08,4.43757435202631e-07,-0.0472649659220377,-1.07015147442139,-1.02288650849935,0.412059268408559,ACSL3_GoF/chrYq_amp/FBN2_LoF/KRAS_A146,NFKBIE_amp,A,True,True,Increased Dep.,Colorectal
HSP90AB1_amp,ADGRF1,CN,-0.397684791758343,0.275468795004114,7.09422555614163e-05,0.00217556250388343,-0.142423147851257,-0.559490144227656,-0.417066996376398,0.343714373775163,CCND3_amp/TFEB_amp,NFKBIE_amp,C,True,True,Increased Dep.,Oesophageal
HSP90AB1_amp,ADGRF1,CN,-0.397684791758343,0.275468795004114,7.09422555614163e-05,0.00217556250388343,-0.142423147851257,-0.559490144227656,-0.417066996376398,0.343714373775163,CCND3_amp/TFEB_amp,NFKBIE_GoF,C,True,True,Increased Dep.,Oesophageal
LOX_LoF,CEACAM5,LoF_GoF,-0.402546092739873,0.236339076039604,8.60984946529807e-05,0.0115371982834994,-0.145831971535161,-0.531362280710844,-0.385530309175683,0.271839209540196,,,C,True,True,Increased Dep.,Oesophageal
chr13p_amp,CEACAM5,CN,-0.522995050991681,0.188243607575465,0.000587263796346846,0.028109029349952,-0.165587698681035,-0.676629119555437,-0.511041420874402,0.209677915104372,SBS8,,B,True,False,Increased Dep.,Oesophageal
LOX_LoF,ERBB2,LoF_GoF,-0.449701596356126,0.325768714053278,0.00010062396938576,0.0134836118976918,-0.538200728127478,-1.01458641859114,-0.476385690463663,0.291779562664552,,,C,True,True,Increased Dep.,Oesophageal
HSP90AB1_amp,HMGCLL1,CN,-0.313674110273543,0.261360632985132,0.000616736674890087,0.028369887044944,-0.158598678792601,-0.506385525784958,-0.347786846992357,0.264048708873211,CCND3_amp/TFEB_amp,NFKBIE_amp,C,True,False,Increased Dep.,Oesophageal
HSP90AB1_amp,HMGCLL1,CN,-0.313674110273543,0.261360632985132,0.000616736674890087,0.028369887044944,-0.158598678792601,-0.506385525784958,-0.347786846992357,0.264048708873211,CCND3_amp/TFEB_amp,NFKBIE_GoF,C,True,False,Increased Dep.,Oesophageal
HSP90AB1_amp,MED29,CN,-0.530126541886361,0.22969571318864,0.000216282299978728,0.00994898579902149,-0.611691118943242,-1.15730634454927,-0.545615225606028,0.286806199491602,CCND3_amp/TFEB_amp,NFKBIE_amp,B,True,True,Increased Dep.,Oesophageal
