gene,n,median_LFC,mean_LFC,q1_LFC,q3_LFC,pct_depleted,rank_most_dependent,percentile_most_dependent
PSMB3,85,-2.37478771642132,-2.380254973399881,-2.62415872136991,-2.09277630041611,98.82352941176471,1,100.0
U2AF1,85,-2.33676376344109,-2.3506587994112698,-2.60484211502491,-2.01393810811694,100.0,2,99.9939617172876
SRSF3,85,-2.30801583749819,-2.3910057238624995,-2.70108807851872,-2.07493640335823,98.82352941176471,3,99.98792343457521
POLR2A,85,-2.26377638632153,-2.294488311947009,-2.57613195334535,-2.0509168943261,100.0,4,99.98188515186281
SF3B5,85,-2.24834500089181,-2.233373769299711,-2.50161686896686,-1.90857391336054,100.0,5,99.9758468691504
RRM2,85,-2.08953674681245,-2.0906358143131003,-2.36440164917064,-1.83176907769588,98.82352941176471,6,99.96980858643802
PSMA1,85,-2.07308456739888,-2.0730188007470196,-2.31006516958833,-1.78782061414108,98.82352941176471,7,99.96377030372562
CDC20,85,-2.04338771561792,-2.030831089740438,-2.27748993087957,-1.72471067285921,100.0,8,99.95773202101323
PSMA6,85,-2.0425528401408,-2.041117347385968,-2.34316851734494,-1.74455176116328,97.6470588235294,9,99.95169373830083
SNU13,85,-2.01352004341484,-2.0781860294765835,-2.28141871675748,-1.82793257526634,97.6470588235294,10,99.94565545558844
COPB1,85,-2.00199429827677,-2.032041571065593,-2.34544720129501,-1.78400677246903,98.82352941176471,11,99.93961717287604
SPC24,85,-1.99833517760016,-2.080068252664815,-2.37087648384703,-1.71450769686678,98.82352941176471,12,99.93357889016363
PSMB4,85,-1.99381756986593,-2.0288907574148767,-2.2792812924058,-1.80101084887297,97.6470588235294,13,99.92754060745123
VCP,85,-1.96360715529875,-1.9649625857948398,-2.27068355055417,-1.66102785171789,100.0,14,99.92150232473884
PLK1,85,-1.96346884164836,-1.9949548100171528,-2.23862647674558,-1.67619667921736,97.6470588235294,15,99.91546404202644
PUF60,85,-1.95488775647421,-1.9774944545200368,-2.35144882670882,-1.67127031241843,96.47058823529412,16,99.90942575931405
HNRNPK,85,-1.94722072777929,-1.9379978051813953,-2.21482754757488,-1.58663575679907,97.6470588235294,17,99.90338747660165
SRSF2,85,-1.93032464641521,-1.9017437217121085,-2.08324983835733,-1.61586433361356,98.82352941176471,18,99.89734919388926
SMU1,85,-1.92660539712435,-1.9361286665582909,-2.25292695690531,-1.70032586406157,98.82352941176471,19,99.89131091117686
SNRNP200,85,-1.91045270287005,-1.9716773095157627,-2.25635794716101,-1.72022971651319,97.6470588235294,20,99.88527262846446
CDC7,85,-1.90836639271535,-1.9300621316185897,-2.17950290663666,-1.6832817111788,97.6470588235294,21,99.87923434575207
RBM14,85,-1.89505166039163,-1.882183678657043,-2.17581905268584,-1.5979281586701,95.29411764705881,22,99.87319606303967
PSMC1,85,-1.89325589286779,-1.8534485168731527,-2.10936702192988,-1.64658999327031,94.11764705882352,23,99.86715778032728
DHX8,85,-1.88503752599445,-1.9000856407441609,-2.11304407031525,-1.65098776788153,98.82352941176471,24,99.86111949761488
PCNA,85,-1.87249552762862,-1.8449275686382876,-2.09535921904094,-1.6168283124442,98.82352941176471,25,99.85508121490248
SNRPF,85,-1.86879255000146,-1.9345730547030902,-2.25849427657125,-1.59994554713428,98.82352941176471,26,99.84904293219007
SRSF1,85,-1.85995355814445,-1.8575536231200618,-2.1124584000854,-1.6068895241169,98.82352941176471,27,99.84300464947768
SF1,85,-1.83198641766187,-1.9060411121591057,-2.20315277422705,-1.6376249902421,100.0,28,99.8369663667653
PSMA2,85,-1.82175036668032,-1.7981102677914893,-2.08443433263739,-1.47718193636284,97.6470588235294,29,99.8309280840529
PSMB7,85,-1.82076234362582,-1.8293923050360614,-2.09118725608826,-1.5553184194725,95.29411764705881,30,99.8248898013405
SNRPD2,85,-1.82037680297919,-1.8373343700263738,-2.05389180315864,-1.61802229466496,97.6470588235294,31,99.81885151862811
GINS2,85,-1.81192349973686,-1.855280218606346,-2.05977274640913,-1.58187338651439,97.6470588235294,32,99.81281323591571
POLR2I,85,-1.80116154164313,-1.8208191583211026,-2.03808478500112,-1.53759755563639,95.29411764705881,33,99.80677495320332
DHX15,85,-1.78920731936081,-1.8282243993158334,-2.05967919662389,-1.53274980210038,96.47058823529412,34,99.8007366704909
CNOT3,85,-1.78650364168391,-1.663032913131101,-2.02030701649608,-1.41339085430491,92.94117647058823,35,99.79469838777851
BUD31,85,-1.77611148944075,-1.7139156614921978,-2.03419017034527,-1.42236677842663,94.11764705882352,36,99.78866010506611
COPA,85,-1.77480986962771,-1.879304078531509,-2.13180160725392,-1.57680685836692,98.82352941176471,37,99.78262182235372
PSMA3,85,-1.77222565587221,-1.725260195221899,-2.02478025534715,-1.49223793283201,96.47058823529412,38,99.77658353964132
RBMX,85,-1.76857475501009,-1.8012338741028664,-2.06320128728262,-1.56536719250997,96.47058823529412,39,99.77054525692893
PRMT1,85,-1.76380283869815,-1.7599869191137818,-1.97301184162624,-1.57623499744162,97.6470588235294,40,99.76450697421654
RNGTT,85,-1.75744592163688,-1.749808700319486,-2.03042391264049,-1.48360962448231,95.29411764705881,41,99.75846869150413
PSMD14,85,-1.7452801860955,-1.7210408501614172,-1.89545434161203,-1.50134221461882,96.47058823529412,42,99.75243040879174
POLR2B,85,-1.74086026125167,-1.7521186570256642,-1.98697060380962,-1.50903441892597,96.47058823529412,43,99.74639212607934
ERH,85,-1.73774257570769,-1.7548256521570553,-1.90187440488438,-1.56901002613219,98.82352941176471,44,99.74035384336695
THOC2,85,-1.73586260769267,-1.7169958018872167,-2.02577392451999,-1.45635580079049,96.47058823529412,45,99.73431556065455
VPS28,85,-1.72765581456375,-1.7443299294245207,-2.07544593258964,-1.47747708128484,94.11764705882352,46,99.72827727794215
RPL8,85,-1.72716795649741,-1.7144303738801359,-2.04413953040677,-1.37065413506833,94.11764705882352,47,99.72223899522976
PRPF8,85,-1.71459859138883,-1.7046655597712623,-1.91817693068304,-1.49398244496899,98.82352941176471,48,99.71620071251735
KIN,85,-1.71134997058122,-1.702064212759471,-1.88109506459921,-1.50143795656285,97.6470588235294,49,99.71016242980497
POLA1,85,-1.70814452887355,-1.6788442855316446,-2.00462765200315,-1.49191202558544,95.29411764705881,50,99.70412414709257
UBA52,85,-1.70385072291551,-1.7091330042569954,-1.85543735709593,-1.47569369480415,98.82352941176471,51,99.69808586438018
RPL36,85,-1.69884684235173,-1.6616106924157548,-1.93720837615378,-1.30829868495097,95.29411764705881,52,99.69204758166778
DHX38,85,-1.69855986879223,-1.6720462644439398,-1.94776061153152,-1.4194034424219,97.6470588235294,53,99.68600929895538
EIF2B4,85,-1.69655825127476,-1.6753288473265193,-1.91123752538017,-1.33389830304762,95.29411764705881,54,99.67997101624299
TXNL4A,85,-1.69580256965814,-1.7134647110656114,-1.8890361240473,-1.48485817350564,96.47058823529412,55,99.67393273353058
