gene,ENSEMBL_ID,MEAN_LFC,MEDIAN_LFC,MEAN_LFC_not_depleted_group,MEAN_LFC_depleted_group,MEDIAN_LFC_not_depleted_group,MEDIAN_LFC_depleted_group,delta_MEAN,delta_MEDIAN,N_not_depleted,N_depleted,p.value,p.value.adj
ANO6,ENSG00000177119,-0.0667601844567828,-0.0295134206457449,-0.0286515103245604,-1.10839727740419,-0.0103375392706983,-1.06558800321971,-1.07974576707963,-1.05525046394901,82,3,0.00380759060139238,0.00729309740788948
ATF3,ENSG00000162772,-0.123431521440542,-0.115261601898179,-0.108317446079084,-0.536549581320406,-0.111495679096283,-0.536808941393071,-0.428232135241323,-0.425313262296788,82,3,0.00849592375223149,0.0133554998193847
CD22,ENSG00000012124,-0.0405686838334004,-0.0402518251934903,-0.0267133585711382,-0.615564682217282,-0.0374132052228131,-0.615564682217282,-0.588851323646144,-0.578151476994469,83,2,0.0286010373024555,0.0312403947716418
CD4,ENSG00000010610,-0.0542049139456462,-0.0377696566646395,-0.00994426810823951,-0.950482992153131,-0.032086710669519,-0.88313353960858,-0.940538724044891,-0.851046828939061,81,4,0.000866078350842852,0.0022395908893692
CD86,ENSG00000114013,-0.252143423548708,-0.264753911139997,-0.154510814863023,-0.591288274772663,-0.223092708102609,-0.589441643128538,-0.436777459909639,-0.366348935025929,66,19,3.37034860953702e-09,7.69858577125824e-08
CEACAM5,ENSG00000105388,-0.148637682633905,-0.126041676730751,-0.116328755629386,-0.574038554860068,-0.121029729226882,-0.635290840363292,-0.457709799230683,-0.514261111136409,79,6,0.000422123129516598,0.00124204364888274
EGFR,ENSG00000146648,-1.24622025653724,-1.19761700637978,-0.365146838480311,-1.43502170326372,-0.232924890263363,-1.35816794641158,-1.06987486478341,-1.12524305614822,15,70,1.1131674803772e-06,7.99638101766135e-06
ERBB2,ENSG00000141736,-0.3820774005824,-0.403175055557931,-0.210853887647125,-0.69598717429707,-0.270086524869093,-0.619100565365138,-0.485133286649945,-0.349014040496045,55,30,6.03125747657569e-11,4.18810519173416e-09
LAG3,ENSG00000089692,-0.0279264493624936,-0.0389726589433154,-0.00873525377208534,-0.552485795500318,-0.0367886572234709,-0.507618949204656,-0.543750541728233,-0.470830291981185,82,3,0.0051354503594848,0.0089870381290984
SCD,ENSG00000099194,-1.09569345414549,-1.14508387692216,-0.267108391681643,-1.25907642420878,-0.458216409798678,-1.27209730174499,-0.991968032527138,-0.813880891946312,14,71,1.16443191745527e-08,1.94995544247814e-07
STAT1,ENSG00000115415,-0.103204628306582,-0.0935178822182858,-0.0907150463354354,-0.621522280109151,-0.0861572164883042,-0.621522280109151,-0.530807233773716,-0.535365063620847,83,2,0.0228507926136811,0.0267792367083823
