gene,n,median_LFC,mean_LFC,q1_LFC,q3_LFC,pct_depleted,rank_most_dependent,percentile_most_dependent,panel_gene
EGFR,85,-1.19761700637978,-1.2462202565372384,-1.64824725621352,-0.845109716542007,82.35294117647058,298,98.20663003441821,EGFR
SCD,85,-1.14508387692216,-1.0956934541454881,-1.40040217954989,-0.814156090500454,83.52941176470588,340,97.95302216049755,SCD
ERBB2,85,-0.403175055557931,-0.38207740058239953,-0.557344347202205,-0.17006713927377,35.294117647058826,1376,91.69736127045468,ERBB2
CD86,85,-0.264753911139997,-0.2521434235487075,-0.458892052777693,-0.10093959267131,22.35294117647059,1881,88.6480285006944,CD86
CEACAM5,85,-0.126041676730751,-0.14863768263390478,-0.335621137681733,-0.0034202510864908,7.0588235294117645,3706,77.62816255057061,CEACAM5
CTLA4,85,-0.119743979440127,-0.11712567847846128,-0.235959395121193,-0.0019578620455276,0.0,3883,76.55938651047643,CTLA4
ATF3,85,-0.115261601898179,-0.12343152144054205,-0.274312756111461,0.0099891986039027,3.5294117647058822,4018,75.74421834430288,ATF3
STAT1,85,-0.0935178822182858,-0.10320462830658168,-0.243940994589228,0.0256830960439832,2.3529411764705883,4830,70.84113278183685,STAT1
CD109,85,-0.0913263121605025,-0.07333575541170687,-0.207320754950346,0.0344389000655806,0.0,4920,70.29768733772114,CD109
CH25H,85,-0.0887120164036902,-0.09141324935224814,-0.219282605088001,0.0645953445443098,2.3529411764705883,5044,69.54894028138398,CH25H
CD38,85,-0.0491366372456945,-0.05210967629398566,-0.193361590336289,0.0698731465628359,0.0,7036,57.520681118289964,CD38
CDH2,85,-0.0448858653841892,-0.05816996994071986,-0.150976421367078,0.0656241647072903,1.1764705882352942,7278,56.05941670188999,CDH2
CD22,85,-0.0402518251934903,-0.04056868383340044,-0.202477656631656,0.168028594306033,2.3529411764705883,7532,54.525692892941244,CD22
LAG3,85,-0.0389726589433154,-0.027926449362493562,-0.180283204581441,0.124343738269956,3.5294117647058822,7598,54.12716623392308,LAG3
CD4,85,-0.0377696566646395,-0.054204913945646166,-0.181190310078121,0.114612972807593,4.705882352941177,7664,53.7286395749049,CD4
SIGLEC10,85,-0.0332902510937242,-0.0029981225798286913,-0.12982993042385,0.100730893821942,1.1764705882352942,7956,51.96546102288509,SIGLEC10
HLA-DRA,85,-0.0318021152884341,-0.05386400081976063,-0.142952712770546,0.10166035761512,1.1764705882352942,8048,51.409939013344605,HLA-DRA
ANO6,85,-0.0295134206457449,-0.06676018445678276,-0.162315518899956,0.120094501496437,3.5294117647058822,8195,50.522311454622304,ANO6
IL6,85,-0.0066267902078749,-0.015662323702869612,-0.126743474129769,0.109735156025749,1.1764705882352942,9634,41.8332226314836,IL6
C3,85,-0.0039093397693334,-0.010866659979027497,-0.164215379051129,0.145802060813977,0.0,9804,40.80671457037619,C3
PDCD1,85,0.0035629796639855,0.009898896761029917,-0.120341719048488,0.141245132097719,1.1764705882352942,10273,37.974759978262185,PDCD1
VSIR,85,0.0056096776290412,0.0014908168910501532,-0.1101479103819,0.121914056659672,0.0,10394,37.2441277700622,VSIR
CCR7,85,0.0204965608452448,0.009392843112241533,-0.15093177491148,0.154792330164403,0.0,11298,31.78552019805567,CCR7
CTSE,85,0.0268009089983349,0.007248582164922197,-0.0836035485234866,0.171171580361697,0.0,11660,29.5996618561681,CTSE
CLSTN2,85,0.0286703433843266,0.017695969970790554,-0.0988848620556095,0.142501692844793,1.1764705882352942,11771,28.929412475092086,CLSTN2
BCAS1,85,0.0593945393396735,0.05618402597631893,-0.0774200492525275,0.152495639018893,0.0,13343,19.437232051204635,BCAS1
CD80,85,0.0691243967477187,0.07193750644971593,-0.0455357974065874,0.170701280914903,0.0,13770,16.858885333011287,CD80
PTPRC,85,0.0693925572045387,0.07709893917501276,-0.0281543503849295,0.202206596388524,0.0,13780,16.798502505887324,PTPRC
MSLN,85,0.0748524738323451,0.08209478544551482,-0.0563192080330051,0.178531519460453,0.0,14006,15.433850612885692,MSLN
CD19,85,0.0770134642000529,0.08930412435966137,-0.0145144792715261,0.218851564890932,0.0,14089,14.93267314775678,CD19
CD47,85,0.119181682171789,0.11912351011158494,-0.0708849174468707,0.295244312563389,0.0,15416,6.9198719884065,CD47
HAVCR2,85,0.132586854086688,0.13043781443684713,0.0213255065001394,0.234606260485855,0.0,15708,5.1566934363866945,HAVCR2
CD274,85,0.134357431781512,0.11736346670702849,0.0268597789580801,0.225647826374393,0.0,15743,4.945353541452812,CD274
KANK4,85,0.170703401011711,0.10264207931755162,-0.0310926084262936,0.272874853744586,0.0,16230,2.0047098605156743,KANK4
