gene,n,median_TPM,pct_TPM_gt_0_5,pct_TPM_gt_1
ANO6,85,9.13,98.82352941176471,98.82352941176471
ATF3,85,5.3,100.0,96.47058823529412
BCAS1,85,2.22,88.23529411764706,77.64705882352942
C3,85,1.17,74.11764705882354,55.294117647058826
CCR7,85,0.03,0.0,0.0
CD109,85,0.16,29.411764705882355,18.823529411764707
CD19,85,0.25,24.705882352941178,8.235294117647058
CD22,85,0.15,25.882352941176475,12.941176470588237
CD24,85,280.93,100.0,100.0
CD274,85,0.27,29.411764705882355,10.588235294117647
CD38,85,0.03,4.705882352941177,1.1764705882352942
CD4,85,0.09,12.941176470588237,3.5294117647058822
CD47,85,71.81,100.0,100.0
CD80,85,0.0,0.0,0.0
CD86,85,0.0,0.0,0.0
CDH2,85,0.0,1.1764705882352942,0.0
CEACAM5,85,77.5,98.82352941176471,98.82352941176471
CH25H,85,0.0,1.1764705882352942,0.0
CLSTN2,85,0.01,12.941176470588237,9.411764705882353
CTLA4,85,0.02,12.941176470588237,9.411764705882353
CTSE,85,1.22,63.52941176470588,56.470588235294116
EGFR,85,3.74,97.6470588235294,84.70588235294117
ERBB2,85,32.48,100.0,100.0
FCGR1A,85,0.0,0.0,0.0
FCGR2B,85,0.0,0.0,0.0
FCGR3A,85,0.0,0.0,0.0
HAVCR2,85,0.06,2.3529411764705883,1.1764705882352942
HLA-DRA,85,0.07,24.705882352941178,18.823529411764707
IL6,85,0.0,1.1764705882352942,1.1764705882352942
KANK4,85,0.01,2.3529411764705883,1.1764705882352942
LAG3,85,0.11,12.941176470588237,5.88235294117647
MSLN,85,12.55,92.94117647058823,88.23529411764706
PDCD1,85,0.03,3.5294117647058822,0.0
PTPRC,85,0.0,0.0,0.0
SCD,85,175.18,100.0,100.0
SIGLEC10,85,0.02,0.0,0.0
SIRPA,85,0.85,56.470588235294116,47.05882352941176
STAT1,85,22.0,100.0,100.0
VSIR,85,6.16,100.0,92.94117647058823
