sample_ID,library,distance,AUC_ROC,AUC_PR,COEFF,genes_depleted,SD_LFC,MEAN_LFC,TPR,FPR,order
HCM-SANG-0265-C18,minLib,15.3325801900969,0.908865411116215,0.920703482807452,2.68444597735766,1695,0.325769427694364,-0.101168397755812,0.913183279742765,0.0150375939849624,136
HCM-SANG-0266-C20,minLib,46.6226781962676,0.979911998646133,0.984358791210603,1.95400876689601,1143,0.466935868553959,-0.10057892137304,0.638263665594855,0.0120300751879699,32
HCM-SANG-0267-D12,v1_1,44.4570625959597,0.838459492783405,0.831948234282259,2.15665257467315,1164,0.451289273170041,-0.102159928107101,0.696141479099678,0.0135338345864662,46
HCM-SANG-0268-C18,minLib,21.7193733665757,0.986478253511592,0.98805500094637,2.40882026699302,1411,0.356051846892054,-0.10101421781712,0.840836012861736,0.0135338345864662,84
HCM-SANG-0270-C20,v1_1,44.1570102461544,0.974559388825762,0.974994128431408,2.76368339030223,1545,0.357075862793512,-0.100697874111589,0.861736334405145,0.0165413533834586,118
HCM-SANG-0272-C20,minLib,18.0823174744404,0.984391847786669,0.985359768720763,2.53638658568072,1746,0.33867672900236,-0.101121580960168,0.919614147909968,0.0150375939849624,129
HCM-SANG-0273-C18,v1_1,19.8107479196385,0.986451659695863,0.987308589839856,2.91364445215298,2021,0.304002179431296,-0.103458175065333,0.972668810289389,0.0165413533834586,176
HCM-SANG-0274-C18,v1_1,37.1045907016017,0.93465174189493,0.93233666919515,2.43959435521176,1176,0.382948983768372,-0.101224753290264,0.7491961414791,0.0135338345864662,66
HCM-SANG-0275-C18,minLib,22.916100089924,0.989993472427048,0.989908522294586,2.45375906886954,1250,0.373748361121936,-0.100957745080108,0.794212218649518,0.0135338345864662,75
HCM-SANG-0276-C18,v1_1,16.5553033212247,0.920046901820468,0.914399583814912,2.9425992081652,2116,0.31944744706843,-0.103468959486358,0.958199356913183,0.0210526315789473,177
HCM-SANG-0278-C20,v1_1,21.2187338037336,0.98701980030462,0.989573710790648,3.03912584650338,2111,0.315874882727198,-0.103549887872091,0.97427652733119,0.0180451127819549,180
HCM-SANG-0280-C18,minLib,36.7977472564928,0.951541232502478,0.958429586706766,2.10849915464215,1289,0.428408967906858,-0.100721910048256,0.704180064308682,0.0150375939849624,52
HCM-SANG-0281-C18,v1_1,27.9322928625839,0.988581582573798,0.989292786997212,2.76557476431345,1974,0.327913857082645,-0.103083218892544,0.954983922829582,0.0165413533834586,164
