gene,stratum_variable,stratum,n,median_LFC,q1_LFC,q3_LFC
SCD,CMS_prediction,CMS1,11,-1.24201027683514,-1.374568227087275,-0.8130284255459795
SCD,CMS_prediction,CMS2,16,-1.13686741620663,-1.57869492134073,-0.934339192107443
SCD,CMS_prediction,CMS3,11,-1.33713690032878,-1.4715643031313048,-1.066368347659835
SCD,CMS_prediction,CMS4,14,-0.998732410101818,-1.3238255378955675,-0.6871982651914955
SCD,KRAS_class,WT,51,-1.24201027683514,-1.4610382839918148,-0.7830375553107556
SCD,KRAS_class,G12X,21,-1.07261345171832,-1.33713690032878,-0.839976569445533
SCD,KRAS_class,G13X,5,-1.28440575545572,-1.36280646963999,-1.15496602482699
SCD,KRAS_class,Q61X,2,-0.8936649164286155,-0.9053115066273778,-0.8820183262298532
SCD,KRAS_class,other,6,-1.0459828400420814,-1.2532258471781474,-0.3817753057943525
EGFR,CMS_prediction,CMS1,11,-0.709847513906008,-0.8666961217347435,-0.464210949465507
EGFR,CMS_prediction,CMS2,16,-1.3137897143080202,-1.544880352043775,-0.9950202972976667
EGFR,CMS_prediction,CMS3,11,-1.16326172614462,-1.64907465271605,-0.872185921360749
EGFR,CMS_prediction,CMS4,14,-1.22519699094991,-1.593785180271765,-1.0128165363501067
EGFR,KRAS_class,WT,51,-1.27983919468033,-1.676510282644555,-0.9832204476063235
EGFR,KRAS_class,G12X,21,-1.24203732149172,-1.7321379297617,-0.799067446726954
EGFR,KRAS_class,G13X,5,-1.18709376293004,-1.44350108749187,-1.06664022474363
EGFR,KRAS_class,Q61X,2,-0.5569786644327495,-0.6214707413912752,-0.49248658747422375
EGFR,KRAS_class,other,6,-0.3586046504492148,-0.9742981906437725,0.057012906378678896
