gene,raw_spearman_rho,qc_adjusted_rank_correlation,qc_adjusted_p,FDR_BH
MPIG6B,0.40766073871409025,0.44857832968954353,1.665544918329135e-05,0.13791544696224403
SLC16A2,0.41622044166503813,0.4278506657534876,4.419213456650285e-05,0.20671163881447704
NOX3,0.45143638850889195,0.415212395963175,7.771839609809638e-05,0.21790538480599922
CDX1,0.43459058041821386,0.41135225802884184,9.193608446161355e-05,0.21790538480599922
HOPX,0.3819230017588431,0.40268587052784,0.00013307407554844628,0.2222387418983051
HOXC10,0.39523158100449485,0.4024866945672847,0.00013419403532293042,0.2222387418983051
RGS20,0.39962868868477625,0.38976734028704696,0.000226714149046381,0.2681866444540797
RRM1,0.3794606214578855,0.3844738476075194,0.00028027556867911326,0.2894565776087067
WLS,0.3976939613054524,0.3830005492280992,0.00029712951025590327,0.2894565776087067
DNAJC27,0.3365448504983389,0.37889177290979736,0.0003491772610547474,0.3062281208894585
DPP10,0.3653898768809849,0.37047993697209436,0.00048274937454280355,0.3522362418632306
BEND2,0.35223763924174323,0.36655133425531844,0.0005599300665667622,0.35383367148120015
S100A13,0.35079147938245064,0.3664878647535608,0.0005612647326305365,0.35383367148120015
SEL1L2,0.34189955051788157,0.3656169672202872,0.000579874521274053,0.35383367148120015
CCDC85B,0.3384795778776627,0.3626314342970346,0.000648033205288133,0.35383367148120015
SLC16A8,0.3671878053547001,0.36196101589433044,0.0006643108720945917,0.35383367148120015
BNC1,0.3794410787570842,0.3602802385994888,0.0007067737933877885,0.35383367148120015
SPATA2L,0.36009380496384596,0.3599787977074666,0.0007146461487125353,0.35383367148120015
NPTXR,0.3725425053742427,0.35926657962941416,0.0007335649640801328,0.35383367148120015
ATP6V0D1,0.32216142270861836,0.35874194950987687,0.0007477917095490614,0.35383367148120015
NOX4,0.30635137776040655,0.35579388462903816,0.000832520792650223,0.3598939329443833
MTMR11,0.3510064490912644,0.35372413935220565,0.0008971329558136444,0.3598939329443833
CMC4,0.38245065468047684,0.35162536441403774,0.0009672796867438005,0.3598939329443833
OLFML3,0.34993160054719563,0.35014637201132864,0.0010196677853088721,0.3598939329443833
HADH,0.28463943717021695,0.3492822231547045,0.0010514575449832924,0.3598939329443833
CEACAM5,0.3532538596834083,0.3475755798958488,0.0011168987774969271,0.3598939329443833
AKAP12,0.2962868868477624,0.3473078247979546,0.0011274948915799058,0.3598939329443833
BRIP1,0.3655657611881962,0.34697017073582737,0.0011409872190553043,0.3598939329443833
DKK3,0.3318936877076412,0.3463508165343054,0.0011661174496988105,0.3598939329443833
EYS,0.30426030877467264,0.34607163202772045,0.00117760865648012,0.3598939329443833
ATF3,0.3621457885479773,0.3452115168620219,0.001213659543445342,0.3598939329443833
JPT2,0.36112956810631225,0.344935223051643,0.0012254507348406231,0.3598939329443833
DNAI7,0.3466288841117842,0.3445860694375873,0.0012404998368633782,0.3598939329443833
ZDHHC3,0.3683408247019738,0.34333730194090856,0.001295704938962524,0.3598939329443833
WTAP,0.332421340629275,0.34307861501754977,0.001307415498624295,0.3598939329443833
FBH1,0.32431111979675586,0.3425229718462013,0.0013328938299851179,0.3598939329443833
ADGRG7,0.3080125073285128,0.3420987401362769,0.0013526482784900786,0.3598939329443833
CRACD,0.3013679890560875,0.3409879645105409,0.0014056339632349075,0.3598939329443833
DENR,0.34963846003517685,0.34029577261261323,0.0014395955399279321,0.3612294202537346
TRRAP,0.3077584522180965,0.3394065817694042,0.0014843116516084615,0.36689082481026464
NCSTN,0.3178620285323432,0.33498979588811195,0.0017256022421691963,0.39708008424738084
RCCD1,0.3452804377564979,0.33432071694370413,0.0017650930648866925,0.39708008424738084
CBX3,0.3496970881375806,0.33347207979371996,0.0018163545123701548,0.39708008424738084
RAI2,0.2966972835645887,0.333219408102901,0.0018318743675492994,0.39708008424738084
SHC2,0.33267539573969124,0.33107238614275203,0.0019686556268795046,0.39708008424738084
LIPG,0.24686339652139927,0.3305919155238017,0.002000497923147176,0.39708008424738084
MTOR,0.2460230603869455,0.3302925245800487,0.0020205734134902636,0.39708008424738084
ADIPOR1,0.28835255032245455,0.3301942580804431,0.002027202068414312,0.39708008424738084
PRR7,0.2635724057064686,0.3300046248698591,0.0020400493486728865,0.39708008424738084
PPL,0.33324213406292746,0.3296444308225923,0.002064653905795938,0.39708008424738084
C1orf141,0.3132304084424467,0.3295370087518306,0.002072043377798189,0.39708008424738084
GMPR,0.34305256986515537,0.32857605943606416,0.0021392132540061183,0.39708008424738084
KITLG,0.29970685948798126,0.3285658898625598,0.002139934462890147,0.39708008424738084
WASF2,0.292515145593121,0.3277938957736912,0.002195326108495639,0.39708008424738084
RRAGC,0.34082470197381276,0.32764897204088655,0.0022058672634961076,0.39708008424738084
STEAP4,0.321282001172562,0.3264038019555511,0.0022983293766258776,0.40927562157313074
ABCA5,0.28981825288254837,0.32399675486448515,0.0024870066391703785,0.42187305397772723
SLC6A2,0.31412937267930424,0.323965715351328,0.002489527967893904,0.42187305397772723
ANKRD40,0.31379714676568304,0.3222537650376087,0.0026321950807864027,0.42187305397772723
ILVBL,0.30390854016025015,0.3220543206003824,0.0026492843194060524,0.42187305397772723
C17orf78,0.3279460621457886,0.3217229603709687,0.00267789685963681,0.4223680942137639
MOGS,0.31934727379323824,0.3208405221779952,0.0027554513147109217,0.42574402963442215
MBTPS1,0.3113152237639242,0.3200417830955839,0.002827380026224941,0.42719648187040643
RPS18,0.35286300566738327,0.31964990168209273,0.0028632817757149394,0.42719648187040643
A1BG,0.2694156732460426,0.31851061487595833,0.0029699881511685297,0.43247004505606235
DCLK1,0.294469415673246,0.31770671787633964,0.003047410866423152,0.43247004505606235
CLIC4,0.31713894860269687,0.3176257268373119,0.003055310384128935,0.43247004505606235
CHRDL2,0.31446159859292555,0.3169591857111479,0.0031210214279295302,0.4343465198986634
L3MBTL2,0.2674027750635138,0.31614858249089756,0.0032026375374601714,0.4370209250675995
DDI2,0.24465507133085793,0.31469262272469145,0.003354038930650129,0.4408431645277523
EIF4G1,0.2949970685948798,0.31330680930965815,0.003504056492647197,0.4569344848403955
RAB11FIP1,0.30746531170607777,0.31189980585856,0.0036624722020364314,0.4669008124293896
EPX,0.2642759429353137,0.3117076246335604,0.0036845990847178475,0.4669008124293896
IBSP,0.29937463357436,0.30823395563064176,0.004105647664301187,0.496303875682423
ELAVL2,0.32313855774868083,0.3072604506363488,0.004231093246645647,0.49957167506713446
COPB2,0.30197381278092633,0.30723213898295576,0.004234792000900728,0.49957167506713446
POLL,0.292202462380301,0.30699711164490273,0.0042656082887519925,0.49957167506713446
ZSCAN22,0.2957983193277311,0.3068612877534738,0.004283508113008459,0.49957167506713446
OMD,0.2837209302325581,0.3056310549829349,0.00444870734704114,0.511102785844972
RIIAD1,0.32167285518858707,0.3052777373006653,0.004497187942477554,0.511102785844972
MYOG,0.2934336525307798,0.30505599906606456,0.004527853285770781,0.511102785844972
