sample_id	CD4	PTPRC	CTLA4	PDCD1	HAVCR2	VSIR	LAG3	CD38
TCGA-AF-2687-01	1433.8	1309.07	77.0541	37.037	498.936	1072.37	102.597	109.834
TCGA-AF-2690-01	3613.1	2276.52	133.287	88.3952	705.774	1972.46	137.915	253.616
TCGA-AF-2691-01	964.2899	588.0726	46.5763	62.3464	255.7294	718.271	63.1198	42.1712
TCGA-AF-2692-01	453.1797	481.2839	38.6683	10.4238	96.4855	762.541	62.4638	16.3732
TCGA-AF-2693-01	849.508	576.436	32.0242	15.1466	147.138	728.335	33.3225	76.5985
TCGA-AF-3400-01	1942.9458	2024.723	69.1565	27.5991	892.3901	2377.5736	53.134	31.2334
TCGA-AF-3911-01	499.09	375.809	25.8493	11.2676	127.921	568.353	36.7855	26.1807
TCGA-AF-4110-01	1163.91	903.736	44.9579	45.7904	190.238	1256.74	70.767	180.664
TCGA-AF-5654-01	210.555	121.872	30.4679	8.161	29.3798	294.342	19.0424	8.161
TCGA-AF-6136-01	414.573	386.935	16.3317	11.9347	38.3166	542.085	38.3166	15.7035
TCGA-AF-6655-01	366.157	320.883	43.5767	23.2032	123.939	658.744	35.0877	25.4669
TCGA-AF-6672-01	421.908	460.569	96.9323	26.3342	43.1433	431.993	22.4121	16.8091
TCGA-AF-A56K-01	783.138	589.721	101.894	32.9125	211.903	704.238	38.3228	41.028
TCGA-AF-A56L-01	414.717	231.698	39.2453	17.7358	89.434	362.642	28.3019	30.1887
TCGA-AF-A56N-01	522.038	307.319	33.1581	21.0271	84.1084	601.698	18.6009	11.3223
TCGA-AG-3574-01	471.0915	304.7277	13.9471	24.9611	98.7376	807.1404	35.2106	12.2224
TCGA-AG-3575-01	503.4421	532.2326	64.9437	47.9809	482.9205	836.379	42.8879	37.0468
TCGA-AG-3578-01	563.2958	644.4708	33.2443	29.2523	129.6588	484.3415	43.0016	38.4691
TCGA-AG-3580-01	564.3968	519.045	42.7138	41.3389	106.8272	485.707	85.5461	40.2094
TCGA-AG-3581-01	661.701	401.9543	12.5411	27.1706	127.2579	911.0123	44.8618	30.2948
TCGA-AG-3582-01	643.0612	445.102	28.0961	15.4005	160.6483	460.3918	27.8329	34.3374
TCGA-AG-3583-01	449.6436	380.9926	15.6883	10.546	80.9419	722.3849	58.5383	55.9907
TCGA-AG-3584-01	983.9437	429.9875	38.0688	48.3507	183.8476	754.7267	92.0095	15.0879
TCGA-AG-3586-01	465.5149	308.4412	29.8906	15.132	130.9831	483.7666	40.8025	18.2875
TCGA-AG-3587-01	686.6005	360.3327	26.3679	19.0582	115.7683	835.3734	76.0615	22.058
TCGA-AG-3591-01	582.215	350.255	13.8867	6.1719	96.6929	640.848	19.5443	34.974
TCGA-AG-3592-01	583.146	368.472	44.537	21.1471	101.57	483.819	63.7616	36.2063
TCGA-AG-3593-01	852.5806	792.741	51.9816	44.0927	183.0565	602.3222	61.1909	57.5435
TCGA-AG-3594-01	822.9041	1190.4926	53.4476	116.3589	293.7471	1033.923	278.141	72.7658
TCGA-AG-3598-01	473.4501	419.4171	19.353	53.7001	176.6014	849.8317	125.4886	45.4394
TCGA-AG-3599-01	702.6858	511.7804	42.2677	51.4021	150.7326	623.97	129.203	38.2294
TCGA-AG-3600-01	919.4276	502.6585	19.5386	60.7633	340.3128	635.244	104.9697	43.0388
TCGA-AG-3601-01	305.7449	128.7833	5.4281	2.1597	89.1016	458.4726	27.9429	7.9425
TCGA-AG-3602-01	370.3757	310.6307	17.8902	12.8505	171.4091	816.3228	31.5117	14.165
TCGA-AG-3605-01	321.2425	264.2742	15.0979	15.454	86.3343	570.8517	23.3035	27.6694
TCGA-AG-3608-01	768.3749	498.3113	42.7461	29.096	207.299	885.5781	96.2645	79.4511
TCGA-AG-3609-01	820.4006	396.876	25.5313	50.889	241.4163	656.4337	156.2528	33.1971
TCGA-AG-3725-01	351.351	330.659	24.0709	29.1385	46.875	475.084	54.0541	24.9155
TCGA-AG-3726-01	490.9727	62.214	16.329	34.18	39.4962	1597.6755	73.0611	5.0001
TCGA-AG-3727-01	622.2816	55.7643	9.5446	35.6453	36.6212	1921.792	38.9353	5.3143
TCGA-AG-3728-01	1385.7821	327.9674	55.846	61.8947	168.0246	2050.5966	116.6833	70.1655
TCGA-AG-3731-01	1453.12	1720.35	111.632	60.021	321.514	926.312	165.536	151.391
TCGA-AG-3732-01	900.68	1997.73	75.2834	64.3991	76.644	1180.5	107.029	409.07
TCGA-AG-3742-01	275.391	245.117	88.8672	9.2773	104.004	715.332	23.9258	11.2305
TCGA-AG-3878-01	972.2644	316.6241	46.5916	104.4165	165.9008	1927.3066	211.9386	22.8937
TCGA-AG-3881-01	921.8423	310.9516	31.2932	51.6112	234.6876	3078.9259	87.3819	14.208
TCGA-AG-3882-01	1480.2361	433.4153	83.4624	153.5433	136.6454	2647.4759	325.8514	60.4519
TCGA-AG-3883-01	948.7253	178.2289	71.8996	75.772	228.5694	1676.4951	100.4748	6.9201
TCGA-AG-3885-01	671.042	116.0237	23.1065	52.1298	53.9647	2305.867	105.4518	21.5266
TCGA-AG-3887-01	612.4203	299.5409	11.074	40.8648	118.6883	566.0727	99.7352	34.8069
TCGA-AG-3890-01	996.4772	524.4787	37.782	61.152	133.7866	1552.0954	110.556	75.3603
TCGA-AG-3892-01	631.375	702.5286	93.6776	72.8142	254.0249	837.0493	162.2123	120.2422
TCGA-AG-3893-01	623.0955	306.955	10.8095	17.1394	160.0793	1520.1061	40.7685	9.7285
TCGA-AG-3894-01	516.9468	182.5878	3.7849	49.3214	59.6543	577.6793	19.165	15.7409
TCGA-AG-3896-01	798.354	316.7362	17.9796	16.7419	132.266	794.1292	31.1937	36.5296
TCGA-AG-3898-01	523.3328	595.3357	33.0125	11.9779	157.6654	585.724	36.0144	25.2983
TCGA-AG-3901-01	1913.8497	1225.5913	92.8268	36.5728	456.9746	1259.1066	76.5852	66.2008
TCGA-AG-3902-01	1347.86	1163.27	100.717	103.632	270.091	884.435	235.763	74.8094
TCGA-AG-3909-01	607.5827	305.7941	6.8471	17.3784	99.4284	917.9748	26.7613	44.9159
TCGA-AG-3999-01	315.223	137.0394	8.0007	10.5428	78.9537	865.2796	16.9944	4.3073
TCGA-AG-4001-01	1020.9686	431.3277	27.9023	30.6867	247.7889	729.59	55.3937	20.4539
TCGA-AG-4005-01	566.8812	260.2446	16.3812	20.5654	106.2367	1105.4126	36.3145	24.2835
TCGA-AG-4007-01	892.6211	477.3395	20.8443	61.3615	172.3935	937.6002	108.3422	91.4595
TCGA-AG-4008-01	677.8532	439.1167	16.3812	38.0419	211.5072	901.0319	30.0586	45.6111
TCGA-AG-4015-01	476.2166	228.7825	25.1982	32.3666	97.4315	418.575	49.5556	34.2303
TCGA-AG-4021-01	483.823	375.976	16.7348	7.4377	200.074	432.503	31.6103	104.872
TCGA-AG-4022-01	973.021	866.873	73.8611	13.7107	242.371	709.863	44.6705	32.2866
TCGA-AG-A002-01	139.989	86.136	111.6873	9.6253	19.3113	303.2662	25.3769	1.9106
TCGA-AG-A008-01	269.105	164.5118	13.0005	32.2937	55.1585	519.9547	36.2358	3.1401
TCGA-AG-A00C-01	158.7369	185.3408	17.9678	13.8286	58.0871	818.9911	40.015	5.038
TCGA-AG-A00Y-01	419.0059	212.1572	38.0933	32.8323	95.1672	502.2714	199.0288	49.1069
TCGA-AG-A011-01	380.4332	256.613	22.3197	25.5404	110.4369	578.4542	39.6471	197.2865
TCGA-AG-A015-01	239.805	146.1164	18.4616	17.1976	39.7569	315.0188	12.4108	5.0348
TCGA-AG-A016-01	176.1287	45.7602	0.9553	3.5313	15.4079	458.054	7.1476	2.8418
TCGA-AG-A01J-01	221.8436	137.8873	13.5136	13.4285	39.5164	766.988	45.6936	8.8641
