"gene","raw_spearman_rho","qc_adjusted_rank_correlation","qc_adjusted_p","FDR_BH","significant","label"
"MPIG6B",0.40766073871409,0.448578329689544,1.66554491832914e-05,0.137915446962244,FALSE,"MPIG6B"
"SLC16A2",0.416220441665038,0.427850665753488,4.41921345665029e-05,0.206711638814477,FALSE,NA
"NOX3",0.451436388508892,0.415212395963175,7.77183960980964e-05,0.217905384805999,FALSE,NA
"CDX1",0.434590580418214,0.411352258028842,9.19360844616135e-05,0.217905384805999,FALSE,"CDX1"
"HOPX",0.381923001758843,0.40268587052784,0.000133074075548446,0.222238741898305,FALSE,NA
"HOXC10",0.395231581004495,0.402486694567285,0.00013419403532293,0.222238741898305,FALSE,NA
"RGS20",0.399628688684776,0.389767340287047,0.000226714149046381,0.26818664445408,FALSE,NA
"RRM1",0.379460621457886,0.384473847607519,0.000280275568679113,0.289456577608707,FALSE,NA
"WLS",0.397693961305452,0.383000549228099,0.000297129510255903,0.289456577608707,FALSE,"WLS"
"DNAJC27",0.336544850498339,0.378891772909797,0.000349177261054747,0.306228120889458,FALSE,NA
"DPP10",0.365389876880985,0.370479936972094,0.000482749374542804,0.352236241863231,FALSE,NA
"BEND2",0.352237639241743,0.366551334255318,0.000559930066566762,0.3538336714812,FALSE,NA
"S100A13",0.350791479382451,0.366487864753561,0.000561264732630537,0.3538336714812,FALSE,NA
"SEL1L2",0.341899550517882,0.365616967220287,0.000579874521274053,0.3538336714812,FALSE,NA
"CCDC85B",0.338479577877663,0.362631434297035,0.000648033205288133,0.3538336714812,FALSE,NA
"SLC16A8",0.3671878053547,0.36196101589433,0.000664310872094592,0.3538336714812,FALSE,NA
"BNC1",0.379441078757084,0.360280238599489,0.000706773793387788,0.3538336714812,FALSE,NA
"SPATA2L",0.360093804963846,0.359978797707467,0.000714646148712535,0.3538336714812,FALSE,NA
"NPTXR",0.372542505374243,0.359266579629414,0.000733564964080133,0.3538336714812,FALSE,NA
