"k","replicate","rho"
50,1,0.817531666288937
50,2,0.789428621792451
50,3,0.733726171589736
50,4,0.762433582634535
50,5,0.802825413613357
50,6,0.783737503462517
50,7,0.701543652892146
50,8,0.689859232958122
50,9,0.730150336178893
50,10,0.778499660043817
50,11,0.732517438493113
50,12,0.648611216035859
50,13,0.671274961597542
50,14,0.745259499886681
50,15,0.774369821963688
50,16,0.792097907380826
50,17,0.806602704540304
50,18,0.820150587998288
50,19,0.832640829996726
50,20,0.723049029236232
50,21,0.786910427841152
50,22,0.725768678703634
50,23,0.778751479438946
50,24,0.804235602226083
50,25,0.777794565737453
50,26,0.616630152854373
50,27,0.725869406461686
50,28,0.789428621792451
50,29,0.766865603988819
50,30,0.716552088841883
50,31,0.825035884263806
50,32,0.819596585329002
50,33,0.838885950995946
50,34,0.858830047090227
50,35,0.82287023746569
50,36,0.711515700939286
50,37,0.846087985696658
50,38,0.864067890508927
50,39,0.705472035456171
50,40,0.811588728563874
50,41,0.811437636926796
50,42,0.724106670695777
50,43,0.739820200951877
50,44,0.684722117297474
50,45,0.801969227669915
50,46,0.762081035481353
50,47,0.842310694769711
50,48,0.778600387801869
50,49,0.745108408249603
50,50,0.799199214323487
50,51,0.786306061292841
50,52,0.814157286394198
50,53,0.77920475435018
50,54,0.738107829064995
50,55,0.788673163607061
50,56,0.769937800609403
50,57,0.751706076402004
50,58,0.723401576389414
50,59,0.801717408274785
50,60,0.762483946513561
50,61,0.787162247236282
50,62,0.827503714336078
50,63,0.739467653798696
50,64,0.712422250761754
50,65,0.761678124449145
50,66,0.768527611996676
50,67,0.807660345999849
50,68,0.788975346881217
50,69,0.800961950089396
50,70,0.768426884238624
50,71,0.830424819319584
50,72,0.755483367328952
50,73,0.774319458084662
50,74,0.790586991010048
50,75,0.797889753468812
50,76,0.775729646697389
50,77,0.78806879705875
50,78,0.69862254790864
50,79,0.784644053284984
50,80,0.809825992797965
50,81,0.803429780161668
50,82,0.665533479388583
50,83,0.764901412706807
50,84,0.742086575508046
50,85,0.743144216967591
50,86,0.756591372667523
50,87,0.773765455415376
50,88,0.814560197426406
50,89,0.742741305935383
50,90,0.724358490090907
50,91,0.761728488328171
50,92,0.740575659137267
50,93,0.755785550603107
50,94,0.712271159124676
50,95,0.749036790813629
50,96,0.724157034574803
50,97,0.715393719624285
50,98,0.774923824632973
50,99,0.767218151142001
50,100,0.778348568406739
50,101,0.802674321976279
50,102,0.759210294376873
50,103,0.774873460753947
50,104,0.721588476744479
50,105,0.708141321044547
50,106,0.740978570169474
50,107,0.742640578177331
50,108,0.783787867341543
50,109,0.800256855783033
50,110,0.746921507894538
50,111,0.727128503437335
50,112,0.747122963410642
50,113,0.784593689405958
50,114,0.785097328196218
50,115,0.820503135151469
50,116,0.774017274810506
50,117,0.747676966079928
50,118,0.718566644002921
50,119,0.739870564830903
50,120,0.770290347762585
50,121,0.839037042633023
50,122,0.789378257913425
50,123,0.821107501699781
50,124,0.852081287300748
50,125,0.741935483870968
50,126,0.715695902898441
50,127,0.735035632444411
50,128,0.771952355770441
50,129,0.731459797033567
50,130,0.799350305960565
50,131,0.773765455415376
50,132,0.784039686736672
50,133,0.782478406486868
50,134,0.807458890483745
50,135,0.809322354007706
50,136,0.705925310367404
50,137,0.704515121754678
50,138,0.713580619979351
50,139,0.750094432273174
50,140,0.819848404724132
50,141,0.728538692050062
50,142,0.753418448288887
50,143,0.793357004356476
50,144,0.722142479413764
50,145,0.678074085266047
50,146,0.753216992772783
50,147,0.750799526579537
50,148,0.768175064843494
50,149,0.758908111102717
50,150,0.850368915413865
50,151,0.787011155599204
50,152,0.800458311299136
50,153,0.776535468761804
50,154,0.773412908262194
50,155,0.670116592379945
50,156,0.77608219385057
50,157,0.68502430057163
50,158,0.797184659162449
50,159,0.678174813024099
50,160,0.77159980861726
50,161,0.768577975875702
50,162,0.720833018559089
50,163,0.794716829090176
50,164,0.811488000805822
50,165,0.732668530130191
50,166,0.713177708947143
50,167,0.736143637782982
50,168,0.74913751857168
50,169,0.803127596887512
50,170,0.777542746342323
50,171,0.693888343280199
50,172,0.819395129812898
50,173,0.78444259776888
50,174,0.7357910906298
50,175,0.742993125330513
50,176,0.745561683160837
50,177,0.748180604870187
50,178,0.78806879705875
50,179,0.820805318425625
50,180,0.753468812167913
50,181,0.751000982095641
50,182,0.696456901110524
50,183,0.790989902042255
50,184,0.822568054191534
50,185,0.744604769459344
50,186,0.812545642265367
50,187,0.791594268590567
50,188,0.744352950064214
50,189,0.742690942056357
50,190,0.71771045805948
50,191,0.775578555060311
50,192,0.82473370098965
50,193,0.714184986527662
50,194,0.687693586160006
50,195,0.832640829996726
50,196,0.742640578177331
50,197,0.817279846893808
50,198,0.767167787262975
50,199,0.772455994560701
50,200,0.672886605726373
50,201,0.732970713404346
50,202,0.855707486590617
50,203,0.778298204527713
50,204,0.728589055929088
50,205,0.802120319306993
50,206,0.779758757019466
50,207,0.80403414670998
50,208,0.721689204502531
50,209,0.73629472942006
50,210,0.773060361109013
50,211,0.78781697766362
50,212,0.703810027448314
50,213,0.810128176072121
50,214,0.748684243660447
50,215,0.825287703658936
50,216,0.848908362922112
50,217,0.736244365541034
50,218,0.740172748105059
50,219,0.749842612878044
50,220,0.753670267684017
50,221,0.779658029261414
50,222,0.78207549545466
50,223,0.759008838860769
50,224,0.821258593336859
50,225,0.764297046158495
50,226,0.767872881569339
50,227,0.680441187580268
50,228,0.790335171614918
50,229,0.713127345068117
50,230,0.724157034574803
50,231,0.730956158243308
50,232,0.804185238347058
50,233,0.708695323713832
50,234,0.82186295988517
50,235,0.747979149354083
50,236,0.729797789025711
50,237,0.672181511420009
50,238,0.734229810379996
50,239,0.782780589761023
50,240,0.763692679610184
50,241,0.664929112840271
50,242,0.80327868852459
50,243,0.847951449220619
50,244,0.835763390496336
50,245,0.76535468761804
50,246,0.683664475837929
50,247,0.771952355770441
50,248,0.727027775679283
50,249,0.771952355770441
50,250,0.772657450076805
50,251,0.804285966105109
50,252,0.778046385132583
50,253,0.726221953614867
50,254,0.799048122686409
50,255,0.754073178716225
50,256,0.818387852232379
50,257,0.760922666263756
50,258,0.749943340636096
50,259,0.833295560424064
50,260,0.736496184936164
50,261,0.749187882450706
50,262,0.804437057742187
50,263,0.778902571076024
50,264,0.746468232983304
50,265,0.790939538163229
50,266,0.796378837098033
50,267,0.789781168945632
50,268,0.750749162700511
50,269,0.676865352169424
50,270,0.842159603132633
50,271,0.764347410037521
50,272,0.733373624436554
50,273,0.725919770340712
50,274,0.827453350457052
50,275,0.782478406486868
50,276,0.790889174284203
50,277,0.769182342424014
50,278,0.824078970562313
50,279,0.809926720556017
50,280,0.778096749011609
50,281,0.729394877993503
50,282,0.799098486565435
50,283,0.777643474100375
50,284,0.763692679610184
50,285,0.758908111102717
50,286,0.825740978570169
50,287,0.767822517690313
50,288,0.76273576590869
50,289,0.795220467880436
50,290,0.748583515902395
50,291,0.721538112865453
50,292,0.830374455440558
50,293,0.741734028354864
50,294,0.771398353101156
50,295,0.803379416282642
50,296,0.779909848656543
50,297,0.796731384251215
50,298,0.822467326433482
50,299,0.765807962529274
50,300,0.825086248142832
50,301,0.763591951852132
50,302,0.729092694719347
50,303,0.719674649341492
50,304,0.797436478557578
50,305,0.78519805595427
50,306,0.79542192339654
50,307,0.772405630681675
50,308,0.800256855783033
50,309,0.83284228551283
50,310,0.786255697413815
50,311,0.80065976681524
50,312,0.733474352194606
50,313,0.852685653849059
50,314,0.778499660043817
50,315,0.758203016796354
50,316,0.706781496310846
50,317,0.758555563949535
50,318,0.72244466268792
50,319,0.810480723225303
50,320,0.721689204502531
50,321,0.762786129787716
50,322,0.733121805041424
50,323,0.722293571050842
50,324,0.760821938505704
50,325,0.789126438518295
50,326,0.783133136914205
50,327,0.774168366447584
50,328,0.788018433179724
50,329,0.710407695600715
50,330,0.836921759713933
50,331,0.68029009594319
50,332,0.735085996323437
50,333,0.710306967842663
50,334,0.715393719624285
50,335,0.707839137770391
50,336,0.802926141371408
50,337,0.708644959834807
50,338,0.757850469643172
50,339,0.705874946488379
50,340,0.724559945607011
50,341,0.832691193875752
50,342,0.846541260607892
50,343,0.774269094205636
50,344,0.73342398831558
50,345,0.796580292614137
50,346,0.763390496336028
50,347,0.805091788169525
50,348,0.793558459872579
50,349,0.794011734783813
50,350,0.696859812142731
50,351,0.815265291732769
50,352,0.788320616453879
50,353,0.788773891365113
50,354,0.781017853995115
50,355,0.802825413613357
50,356,0.847649265946463
50,357,0.774873460753947
50,358,0.721336657349349
50,359,0.759059202739795
50,360,0.748684243660447
50,361,0.777240563068168
50,362,0.845785802422503
50,363,0.782125859333686
50,364,0.737201279242527
50,365,0.776182921608622
50,366,0.749490065724862
50,367,0.81763239404699
50,368,0.81924403817582
50,369,0.791946815743749
50,370,0.857520586235552
50,371,0.772254539044597
50,372,0.857470222356526
50,373,0.749741885119992
50,374,0.680894462491501
50,375,0.778449296164791
50,376,0.753821359321095
50,377,0.724811765002141
50,378,0.83022336380348
50,379,0.817833849563093
50,380,0.746568960741356
50,381,0.796681020372189
50,382,0.687290675127798
50,383,0.769585253456221
50,384,0.661957643977739
50,385,0.711918611971494
50,386,0.790486263251996
50,387,0.739568381556748
50,388,0.73629472942006
50,389,0.738007101306943
50,390,0.766613784593689
50,391,0.803883055072902
50,392,0.868902822895419
50,393,0.808969806854524
50,394,0.735035632444411
50,395,0.802170683186019
50,396,0.750446979426355
50,397,0.732164891339931
50,398,0.704061846843444
50,399,0.85142655687341
50,400,0.832389010601597
50,401,0.748633879781421
50,402,0.764196318400443
50,403,0.747878421596031
50,404,0.739064742766488
50,405,0.729747425146685
50,406,0.773161088867065
50,407,0.790939538163229
50,408,0.743496764120773
50,409,0.829719725013221
50,410,0.763390496336028
50,411,0.647956485608522
50,412,0.750346251668303
50,413,0.759562841530055
50,414,0.769736345093299
50,415,0.797436478557578
50,416,0.754677545264536
50,417,0.821762232127119
50,418,0.817179119135756
50,419,0.669713681347737
50,420,0.796227745460955
50,421,0.759311022134925
50,422,0.788572435849009
50,423,0.740676386895319
50,424,0.746921507894538
50,425,0.705472035456171
50,426,0.715796630656493
50,427,0.747475510563824
50,428,0.735438543476619
50,429,0.804487421621213
50,430,0.850066732139709
50,431,0.807257434967641
50,432,0.750094432273174
50,433,0.755785550603107
50,434,0.750598071063433
50,435,0.80378232731485
50,436,0.797486842436605
50,437,0.729747425146685
50,438,0.810027448314069
50,439,0.800005036387903
50,440,0.799299942081539
50,441,0.752612626224472
50,442,0.807761073757901
50,443,0.816373297071341
50,444,0.78419077837375
50,445,0.672936969605399
50,446,0.76374304348921
50,447,0.74228803102415
50,448,0.735136360202463
50,449,0.73392762710584
50,450,0.741482208959734
50,451,0.769585253456221
50,452,0.748885699176551
50,453,0.813603283724912
50,454,0.707436226738183
50,455,0.719019918914155
50,456,0.703558208053184
50,457,0.823625695651079
50,458,0.749741885119992
50,459,0.771952355770441
50,460,0.793407368235502
50,461,0.675354435798645
50,462,0.811488000805822
50,463,0.746971871773564
50,464,0.77346327214122
50,465,0.708292412681625
50,466,0.836569212560751
50,467,0.75039661554733
50,468,0.774319458084662
50,469,0.77708947143109
50,470,0.754274634232329
50,471,0.764548865553625
50,472,0.802623958097253
50,473,0.788622799728035
50,474,0.716098813930649
50,475,0.814711289063484
50,476,0.665080204477349
50,477,0.764095590642391
50,478,0.719221374430259
50,479,0.760670846868626
50,480,0.757598650248042
50,481,0.80065976681524
50,482,0.750346251668303
50,483,0.75724610309486
50,484,0.658683991841052
50,485,0.726221953614867
50,486,0.783284228551283
50,487,0.778852207196998
50,488,0.835159023948025
