"patient","t_cell_fraction","score","compartment"
"SMC01",0.445718380508778,0.10793426592093,"Tumour-wide pseudobulk"
"SMC02",0.312018946121966,0.26307765894592,"Tumour-wide pseudobulk"
"SMC03",0.232218558643429,-0.211351639452556,"Tumour-wide pseudobulk"
"SMC04",0.249321021184139,0.373886546622521,"Tumour-wide pseudobulk"
"SMC05",0.765151515151515,1.50892996434654,"Tumour-wide pseudobulk"
"SMC06",0.615833874107722,0.74923564741282,"Tumour-wide pseudobulk"
"SMC07",0.533415233415233,0.526520653004894,"Tumour-wide pseudobulk"
"SMC08",0.477261847774055,0.826580061390003,"Tumour-wide pseudobulk"
"SMC09",0.378727896542623,-0.209124084254602,"Tumour-wide pseudobulk"
"SMC10",0.339545454545455,0.519090997817116,"Tumour-wide pseudobulk"
"SMC11",0.582449941107185,0.564492852429269,"Tumour-wide pseudobulk"
"SMC14",0.363064608347627,0.712192748075228,"Tumour-wide pseudobulk"
"SMC15",0.431179082387765,0.5132692758506,"Tumour-wide pseudobulk"
"SMC16",0.0504059539918809,-2.34446675266494,"Tumour-wide pseudobulk"
"SMC17",0.170513775130305,-0.204919638022102,"Tumour-wide pseudobulk"
"SMC18",0.141012396694215,-1.98570268485961,"Tumour-wide pseudobulk"
"SMC19",0.494155844155844,0.371606474891968,"Tumour-wide pseudobulk"
"SMC20",0.206424747174301,-0.349440857115318,"Tumour-wide pseudobulk"
"SMC21",0.207836456558773,-1.0038549999614,"Tumour-wide pseudobulk"
"SMC22",0.142192128650021,-1.57355442519074,"Tumour-wide pseudobulk"
"SMC23",0.370347773032337,0.499585707206784,"Tumour-wide pseudobulk"
"SMC24",0.422784810126582,0.723025271766538,"Tumour-wide pseudobulk"
"SMC25",0.524509803921569,-0.37701304415987,"Tumour-wide pseudobulk"
"SMC01",0.445718380508778,-0.0680915445552532,"Epithelial pseudobulk"
"SMC02",0.312018946121966,0.444605869545977,"Epithelial pseudobulk"
"SMC03",0.232218558643429,-0.326644571123999,"Epithelial pseudobulk"
"SMC04",0.249321021184139,0.147933882552631,"Epithelial pseudobulk"
"SMC05",0.765151515151515,-1.59088966986184,"Epithelial pseudobulk"
"SMC06",0.615833874107722,0.49512308442867,"Epithelial pseudobulk"
"SMC07",0.533415233415233,0.182020654579209,"Epithelial pseudobulk"
"SMC08",0.477261847774055,0.0980463231272376,"Epithelial pseudobulk"
"SMC09",0.378727896542623,-0.0419672147073964,"Epithelial pseudobulk"
"SMC10",0.339545454545455,0.426968273467749,"Epithelial pseudobulk"
"SMC11",0.582449941107185,0.263334502305303,"Epithelial pseudobulk"
"SMC14",0.363064608347627,0.589477455613933,"Epithelial pseudobulk"
"SMC15",0.431179082387765,0.952690806135482,"Epithelial pseudobulk"
"SMC16",0.0504059539918809,-1.11365863951673,"Epithelial pseudobulk"
"SMC17",0.170513775130305,-0.258035322540976,"Epithelial pseudobulk"
"SMC18",0.141012396694215,-1.37801174934251,"Epithelial pseudobulk"
"SMC19",0.494155844155844,0.468141979641957,"Epithelial pseudobulk"
"SMC20",0.206424747174301,0.105154953502189,"Epithelial pseudobulk"
"SMC21",0.207836456558773,-0.498487053973753,"Epithelial pseudobulk"
"SMC22",0.142192128650021,-0.949540778933966,"Epithelial pseudobulk"
"SMC23",0.370347773032337,0.878556003053251,"Epithelial pseudobulk"
"SMC24",0.422784810126582,1.42698182172606,"Epithelial pseudobulk"
"SMC25",0.524509803921569,-0.253709065123217,"Epithelial pseudobulk"
