"sample_ID","library","gene","LFC","is_depleted","msStatus","CMS_prediction","KRAS_class"
"HCM-SANG-0265-C18","minLib","EGFR",-0.915969919321672,1,"MSS","","G12X"
"HCM-SANG-0265-C18","minLib","SCD",-1.23946745202509,1,"MSS","","G12X"
"HCM-SANG-1315-C18","v1_1","EGFR",-0.0224647673405895,0,"MSS","","other"
"HCM-SANG-1315-C18","v1_1","SCD",-1.29400817249883,1,"MSS","","other"
"HCM-SANG-1318-C20","minLib","EGFR",-2.10371908833839,1,"MSS","CMS2","WT"
"HCM-SANG-1318-C20","minLib","SCD",-0.6759772798345,1,"MSS","CMS2","WT"
"HCM-SANG-1316-C18","minLib","EGFR",-1.1307949209367,0,"MSS","CMS2","WT"
"HCM-SANG-1316-C18","minLib","SCD",-2.23947941644,1,"MSS","CMS2","WT"
"HCM-SANG-1317-C20","minLib","EGFR",-1.52536425431882,1,"MSS","","WT"
"HCM-SANG-1317-C20","minLib","SCD",-1.44446965642945,1,"MSS","","WT"
"WTSI-COLIVM_031","minLib","EGFR",0.0835054642851017,0,"MSS","CMS4","other"
"WTSI-COLIVM_031","minLib","SCD",-0.188671471436449,0,"MSS","CMS4","other"
"WTSI-COLIVM_034","minLib","EGFR",-1.36920921094045,1,"MSS","","WT"
"WTSI-COLIVM_034","minLib","SCD",-1.13821758675088,1,"MSS","","WT"
"WTSI-COLIVM_036","minLib","EGFR",-1.85677058208894,1,"MSS","CMS4","G12X"
"WTSI-COLIVM_036","minLib","SCD",-1.40040217954989,1,"MSS","CMS4","G12X"
"WTSI-COLIVM_040","minLib","EGFR",-1.64824725621352,1,"MSS","CMS3","WT"
"WTSI-COLIVM_040","minLib","SCD",-1.34447889728067,1,"MSS","CMS3","WT"
"WTSI-COLIVM_045","minLib","EGFR",-1.73107248522494,1,"MSS","CMS3","WT"
"WTSI-COLIVM_045","minLib","SCD",-1.54715416336888,1,"MSS","CMS3","WT"
"WTSI-COLIVM_051","minLib","EGFR",-3.10121306077847,1,"MSS","","WT"
"WTSI-COLIVM_051","minLib","SCD",-2.13178401260384,1,"MSS","","WT"
"WTSI-COLIVM_058","minLib","EGFR",-1.18709376293004,1,"MSS","CMS4","G13X"
"WTSI-COLIVM_058","minLib","SCD",-1.36280646963999,1,"MSS","CMS4","G13X"
"WTSI-COLIVM_059","minLib","EGFR",-1.56500877788099,1,"MSS","","WT"
"WTSI-COLIVM_059","minLib","SCD",-0.477497088391999,0,"MSS","","WT"
"WTSI-COLIVM_060","minLib","EGFR",-1.27945813305777,1,"MSS","CMS3","G12X"
"WTSI-COLIVM_060","minLib","SCD",-1.33713690032878,1,"MSS","CMS3","G12X"
"WTSI-COLIVM_061","minLib","EGFR",0.137606410232248,0,"MSS","CMS1","other"
"WTSI-COLIVM_061","minLib","SCD",0.414509023907014,0,"MSS","CMS1","other"
"WTSI-COLIVM_068","minLib","EGFR",-1.19761700637978,1,"MSS","","WT"
"WTSI-COLIVM_068","minLib","SCD",-1.09963031250647,1,"MSS","","WT"
"WTSI-COLIVM_069","minLib","EGFR",-1.47409899214831,1,"MSS","","G13X"
"WTSI-COLIVM_069","minLib","SCD",-0.764201403645976,1,"MSS","","G13X"
"WTSI-COLIVM_072","minLib","EGFR",-1.1394542915862,0,"MSS","","WT"
"WTSI-COLIVM_072","minLib","SCD",-0.714170679572568,0,"MSS","","WT"
"WTSI-COLIVM_074","minLib","EGFR",-2.98155784356699,1,"MSS","","WT"
"WTSI-COLIVM_074","minLib","SCD",-1.36419447922841,1,"MSS","","WT"
"WTSI-COLIVM_080","minLib","EGFR",-2.15577092282819,1,"MSS","","G12X"
"WTSI-COLIVM_080","minLib","SCD",-1.17332959662262,1,"MSS","","G12X"
