source_id	resource_version	accession_or_doi	analysis_role	landing_page	retrieved_on	expected_file	sha256	redistributed
CRC organoid biobank	Nature 2026	10.1038/s41586-026-10830-y	CRISPR dependency discovery and organoid annotations	https://doi.org/10.1038/s41586-026-10830-y	2026-08-30	publisher supplementary tables	not recorded	no; processed derivatives only
DepMap CRISPR gene effect	Public 26Q1	DepMap Public 26Q1	2D cell-line dependency replication	https://depmap.org/portal/download/all/	2026-08-31	CRISPRGeneEffect.csv	e610a4cefb13a82b5b256b47eb08b63ff14843f8dbd0fb164bc0a32688e5b89e	no; processed derivatives only
DepMap model metadata	Public 26Q1	DepMap Public 26Q1	CRC cell-line definition and covariates	https://depmap.org/portal/download/all/	2026-08-31	Model.csv	ea4e0b2a3bc806f81df62689a5ae75f1a100135727a3d7b8a4c7ccc8815183f8	no; processed derivatives only
MSigDB Hallmark	2023.2 human symbols	10.1016/j.cels.2015.12.004	Preranked Hallmark enrichment	https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp#H	2026-08-31	h.all.v2023.2.Hs.symbols.gmt	not recorded	no; enrichment outputs only
curatedCRCData GSE39582	Bioconductor object accessed 2026-08-31	GSE39582	RFS validation	https://bioconductor.org/packages/curatedCRCData/	2026-08-31	GSE39582_eset_curatedCRCData.rda	9201642574164e5ca5190fdc505ce34933ff8ae514a1947af3e744b08bcd74c3	no; processed derivatives only
cBioPortal TCGA COAD/READ	coadread_tcga_pan_can_atlas_2018	coadread_tcga_pan_can_atlas_2018	OS validation	https://www.cbioportal.org/study/summary?id=coadread_tcga_pan_can_atlas_2018	2026-08-31	REST API responses	see baseline/v7/analysis/tcga_cbioportal_592/tcga_cbioportal_manifest.json	no; processed derivatives only
CRC leukocyte atlas	GEO public release	GSE146771	RNA-level CEACAM5-positive leukocyte candidates	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146771	2026-08-31	GSE146771_CRC.Leukocyte.10x.Metadata.txt.gz and GSE146771_CRC.Leukocyte.10x.TPM.txt.gz	not recorded	no; processed derivatives only
CRC full-cell atlas matrix	GEO public release	GSE178341	Patient pseudobulk and matched-null analysis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178341	2026-08-31	GSE178341_crc10x_full_c295v4_submit.h5	f435bb2651ff5297d0c24a99daf58850ed67ae1ed6c5ef05fad48fa3f0186670	no; processed derivatives only
CRC full-cell atlas clusters	GEO public release	GSE178341	Cell annotations	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178341	2026-08-31	GSE178341_crc10x_full_c295v4_submit_cluster.csv.gz	42ed840feb62aec786f092a18ea8c0cb88d07f919df207cc8f12dc2b08e96699	no; processed derivatives only
CRC full-cell atlas metadata	GEO public release	GSE178341	Patient and specimen annotations	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178341	2026-08-31	GSE178341_crc10x_full_c295v4_submit_metatables.csv.gz	0452149b0bcff9660951de87913b82a4d72784c08d0c782e49395f756a4b9853	no; processed derivatives only
Independent CRC full-cell matrix	GEO public release	GSE132465	Cross-cohort composition replication	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132465	2026-09-01	GSE132465_GEO_processed_CRC_10X_raw_UMI_count_matrix.txt.gz	deff856c7fe1d2c845af5b31e1c65a1dd95ea29541772a66c89bda3aaa8c0666	no; processed derivatives only
Independent CRC annotations	GEO public release	GSE132465	Cell-type and patient annotations	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132465	2026-09-01	GSE132465_GEO_processed_CRC_10X_cell_annotation.txt.gz	4bf2ebdadc88da53b0c46e654a6576e841925addc25c981d7cdbc0d988b4677c	no; processed derivatives only
CMScaller templates	CMScaller package	10.1038/s41598-017-16747-x	CMS assignment in GSE178341	https://github.com/peterawe/CMScaller	2026-08-31	templates.CMS.rda, geneSets.CMS.rda, anno.orgHs.rda	0702b8ffa4474ad2b36e74549f6ea02f5e18a516be75da3c63b8beb2bdbf241e; b8a641f431150d97db86d82c4523782efa3eded00c9a97c05c0f89ec0d93d85c; d41d4c818b35b975a730db1faf1ccec24dbbd5f50c34ef144631bc9fa5e3b768	no
