target_gene	feature	target_value	selected_median	selected_ci95_low	selected_ci95_high	median_signed_robust_z_mismatch	median_absolute_robust_z_mismatch	p95_absolute_robust_z_mismatch
CD4	mean_expression_log_cp10k	0.1713879038537832	0.1334141131776907	0.1076693145877763	0.189745806643898	-0.2416334424968325	0.2416334424968325	0.3498429259586312
CD4	cell_detection_rate	0.1120928587255248	0.1455698908847779	0.1097060847188154	0.1683103272679212	0.22667631769428231	0.22667631769428231	0.36941501612160355
CD4	tnkilc_vs_other_log2_cpm_ratio	1.8416623071246343	1.797082476365705	1.4058739309764423	2.200403845753489	-0.025301931352796903	0.12483400898129093	0.24733803134593135
PTPRC	mean_expression_log_cp10k	0.5461055409387251	0.46729479540147	0.3447165468489672	0.6306931927757385	-0.5014856671103445	0.5382450669842966	1.2068896628389312
PTPRC	cell_detection_rate	0.3268247742477191	0.341538030950317	0.1893753571414688	0.459516192356881	0.09962492597223171	0.4016582220175031	0.930683687569915
PTPRC	tnkilc_vs_other_log2_cpm_ratio	3.90223256684834	2.567466259442458	1.6702117344185912	4.777990009319017	-0.7575660317024697	0.763092390529442	1.2663026340215802
CTLA4	mean_expression_log_cp10k	0.1116500806794293	0.0611884076472798	0.0203046600030995	0.202255285152742	-0.32109588091726793	0.36464609033073997	0.5812458556643132
CTLA4	cell_detection_rate	0.0785691795172807	0.0539162141255038	0.0198055595507889	0.1401938184885578	-0.16692768309534772	0.2027242218858985	0.41726656576956
CTLA4	tnkilc_vs_other_log2_cpm_ratio	7.0463662938995535	7.092053513440011	5.8039024361075136	7.994883861069489	0.025930445962522697	0.20319544329640227	0.6490902169649679
PDCD1	mean_expression_log_cp10k	0.0407698330291339	0.0338951897546456	0.0095130320771605	0.1067491440977471	-0.04374447983140449	0.11523517909690321	0.3866657143225281
PDCD1	cell_detection_rate	0.04431469654151	0.0322719833936505	0.0095354342645898	0.0812047377852758	-0.08154240968612236	0.12205040468513494	0.24978614200171076
PDCD1	tnkilc_vs_other_log2_cpm_ratio	7.040936998768004	6.741684582498838	5.992086449091042	7.841345061289449	-0.16984506142577516	0.25972181264485084	0.5908399141466396
HAVCR2	mean_expression_log_cp10k	0.1607646930015405	0.1322884430813336	0.0884072699890648	0.1838211581761035	-0.18119903689129868	0.19991571596096036	0.4448743599057282
HAVCR2	cell_detection_rate	0.1281938651356068	0.1380519414890515	0.1058499286688875	0.1804307854974324	0.0667500164506154	0.1365006251233798	0.3472001052839374
HAVCR2	tnkilc_vs_other_log2_cpm_ratio	3.701294396416631	3.532455974546428	2.9947805971767445	4.420704028480221	-0.09582670205670896	0.17598084423445304	0.40831140036052904
VSIR	mean_expression_log_cp10k	0.2493093713037429	0.2414464393520888	0.2197749065666301	0.2702949804084474	-0.05003312236596624	0.06250496936776329	0.16886233766451908
VSIR	cell_detection_rate	0.2240729870826547	0.2412585373817788	0.204170246179801	0.254164220935973	0.11636507205369417	0.12515628084490316	0.19338027242218825
VSIR	tnkilc_vs_other_log2_cpm_ratio	1.301985928611044	1.2483700928053627	0.981093572539196	1.6227789860008388	-0.030430447444138253	0.07050395911988627	0.18212712400979392
LAG3	mean_expression_log_cp10k	0.1099871112244908	0.0596953323629705	0.0253387092554013	0.1849902227583942	-0.32001481651525854	0.3772239108631042	0.5333652173963899
LAG3	cell_detection_rate	0.0895312360301806	0.0690570687771864	0.0293060085286354	0.1451539546979409	-0.13863262486017006	0.24149503191419353	0.40779101138382584
LAG3	tnkilc_vs_other_log2_cpm_ratio	5.724792187688141	5.567543787144179	4.659782168374218	6.733026375981005	-0.0892486168782396	0.22689902228949732	0.6044619268395115
CD38	mean_expression_log_cp10k	0.1293493281098473	0.1062558471020858	0.0933058773734961	0.1387779267221345	-0.1469475976927893	0.1469475976927893	0.22853255062666045
CD38	cell_detection_rate	0.1029927969181849	0.1199956462754275	0.0826741198284943	0.1357157017854158	0.11512798578666883	0.12076067644929922	0.21872738040402728
CD38	tnkilc_vs_other_log2_cpm_ratio	1.5429879312636343	1.4781905036786311	1.137689589962469	1.8065610320349708	-0.03677672249272024	0.05709780673458864	0.2289785917946503
