analysis	statistic	recomputed_in_R	reported_by_primary_script	absolute_difference	tolerance	pass
GSE178341 matched null	observed Spearman rho	0.767218151142001	0.767218151142001	1.11022302462516e-16	1e-10	TRUE
GSE178341 matched null	null median	0.766160509682456	0.766160509682456	0	1e-10	TRUE
GSE178341 matched null	empirical one-sided P	0.492650734926507	0.492650734926507	0	1e-10	TRUE
DepMap 26Q1	raw Spearman rho	-0.087797619047619	-0.0877976190476191	1.38777878078145e-17	1e-10	TRUE
DepMap 26Q1	adjusted partial Spearman	-0.175051508505269	-0.175051508505269	5.55111512312578e-17	1e-10	TRUE
DepMap 26Q1	adjusted permutation P	0.161383861613839	0.161383861613839	0	1e-10	TRUE
DepMap 26Q1	adjusted bootstrap CI low	-0.466105872359286	-0.466105872359286	0	1e-10	TRUE
DepMap 26Q1	adjusted bootstrap CI high	0.0926537022704832	0.0926537022704832	1.38777878078145e-17	1e-10	TRUE
GSE132465	whole-tumour Spearman rho	0.735177865612648	0.735177865612648	1.11022302462516e-16	1e-10	TRUE
GSE132465	whole-tumour permutation P	0.0005999400059994	0.0005999400059994	0	1e-10	TRUE
GSE132465	epithelial Spearman rho	0.376482213438735	0.376482213438735	5.55111512312578e-17	1e-10	TRUE
GSE132465	epithelial permutation P	0.0891910808919108	0.0891910808919108	0	1e-10	TRUE
GSE132465	absolute-rho attenuation	0.358695652173913	0.358695652173913	1.66533453693773e-16	1e-10	TRUE
GSE132465	attenuation bootstrap CI low	-0.0407574968515598	-0.0407574968515598	0	1e-10	TRUE
GSE132465	attenuation bootstrap CI high	0.759342301943199	0.759342301943199	0	1e-10	TRUE
